"","Task","Choice","RID","VERSION","IP","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","CV","av_A","av_B","av_C","ID","Respondent","Performance_A","Emission_A","Price_A","Performance_B","Emission_B","Price_B","Performance_C","Emission_C","Price_C","Order"
"X116.1",2,2,"117","7","91.652.cb.c"," 556.164","1","4","BA1 3LQ","1"," 5"," 4","2"," 4"," 5","2","4"," 400"," 4","20"," 1",NA,"11","11","11","11","11","11","11","4","5","0","0","1","4","4500","10","117","1",1,1,1,438,110,0,0,0,5,90,2.5,10,10,0.5,1
"X116.2",3,3,"117","7","91.652.cb.c"," 556.164","1","4","BA1 3LQ","1"," 5"," 4","2"," 4"," 5","2","4"," 400"," 4","20"," 1",NA,"11","11","11","11","11","11","11","4","5","0","0","1","4","4500","10","117","1",1,1,1,439,110,0,0,0,50,90,2.5,5,40,1,1
"X116.3",4,3,"117","7","91.652.cb.c"," 556.164","1","4","BA1 3LQ","1"," 5"," 4","2"," 4"," 5","2","4"," 400"," 4","20"," 1",NA,"11","11","11","11","11","11","11","4","5","0","0","1","4","4500","10","117","1",1,1,1,440,110,0,0,0,50,40,2.5,10,90,5,1
"X117",1,3,"169","7","c3.521.7d.a"," 324.434","1","2","NE28 9PB","1"," 2"," 3","2"," 0"," 5","2","4"," 300"," 4","20"," 1",NA,"11"," 8","10"," 9","11","11","11","3","3","0","1","0","5","2250","10","169","1",1,1,1,441,111,0,0,0,50,10,1,5,40,5,1
"X117.1",2,2,"169","7","c3.521.7d.a"," 324.434","1","2","NE28 9PB","1"," 2"," 3","2"," 0"," 5","2","4"," 300"," 4","20"," 1",NA,"11"," 8","10"," 9","11","11","11","3","3","0","1","0","5","2250","10","169","1",1,1,1,442,111,0,0,0,5,90,2.5,10,10,0.5,1
"X117.2",3,3,"169","7","c3.521.7d.a"," 324.434","1","2","NE28 9PB","1"," 2"," 3","2"," 0"," 5","2","4"," 300"," 4","20"," 1",NA,"11"," 8","10"," 9","11","11","11","3","3","0","1","0","5","2250","10","169","1",1,1,1,443,111,0,0,0,50,90,2.5,5,40,1,1
"X117.3",4,3,"169","7","c3.521.7d.a"," 324.434","1","2","NE28 9PB","1"," 2"," 3","2"," 0"," 5","2","4"," 300"," 4","20"," 1",NA,"11"," 8","10"," 9","11","11","11","3","3","0","1","0","5","2250","10","169","1",1,1,1,444,111,0,0,0,50,40,2.5,10,90,5,1
"X118",1,1,"142","7","56.a9.455.0"," 396.526","0","1","Ls15 9je","2"," 1"," 2","1"," 1"," 2","2","4"," 200","10","80"," 1",NA,"11"," 8"," 8"," 8","10"," 8"," 8","4","4","1","1","1","3","3500"," 7","142","1",1,1,1,445,112,0,0,0,50,10,1,5,40,5,1
"X118.1",2,2,"142","7","56.a9.455.0"," 396.526","0","1","Ls15 9je","2"," 1"," 2","1"," 1"," 2","2","4"," 200","10","80"," 1",NA,"11"," 8"," 8"," 8","10"," 8"," 8","4","4","1","1","1","3","3500"," 7","142","1",1,1,1,446,112,0,0,0,5,90,2.5,10,10,0.5,1
"X118.2",3,2,"142","7","56.a9.455.0"," 396.526","0","1","Ls15 9je","2"," 1"," 2","1"," 1"," 2","2","4"," 200","10","80"," 1",NA,"11"," 8"," 8"," 8","10"," 8"," 8","4","4","1","1","1","3","3500"," 7","142","1",1,1,1,447,112,0,0,0,50,90,2.5,5,40,1,1
"X118.3",4,2,"142","7","56.a9.455.0"," 396.526","0","1","Ls15 9je","2"," 1"," 2","1"," 1"," 2","2","4"," 200","10","80"," 1",NA,"11"," 8"," 8"," 8","10"," 8"," 8","4","4","1","1","1","3","3500"," 7","142","1",1,1,1,448,112,0,0,0,50,40,2.5,10,90,5,1
"X119",1,2,"205","7","9f.4aa.b5.e"," 223.838","1","1","TA21 9BU","1"," 2"," 2","1"," 2"," 2","1","0"," 300"," 9","70"," 2",NA,"11"," 9"," 8"," 6"," 8"," 7"," 8","4","3","1","0","1","5","3500"," 9","205","0",1,1,1,449,113,0,0,0,5,10,1,10,90,2.5,1
"X119.1",2,2,"205","7","9f.4aa.b5.e"," 223.838","1","1","TA21 9BU","1"," 2"," 2","1"," 2"," 2","1","0"," 300"," 9","70"," 2",NA,"11"," 9"," 8"," 6"," 8"," 7"," 8","4","3","1","0","1","5","3500"," 9","205","0",1,1,1,450,113,0,0,0,10,40,5,50,10,0.5,1
"X119.2",3,3,"205","7","9f.4aa.b5.e"," 223.838","1","1","TA21 9BU","1"," 2"," 2","1"," 2"," 2","1","0"," 300"," 9","70"," 2",NA,"11"," 9"," 8"," 6"," 8"," 7"," 8","4","3","1","0","1","5","3500"," 9","205","0",1,1,1,451,113,0,0,0,50,40,1,5,10,0.5,1
"X119.3",4,2,"205","7","9f.4aa.b5.e"," 223.838","1","1","TA21 9BU","1"," 2"," 2","1"," 2"," 2","1","0"," 300"," 9","70"," 2",NA,"11"," 9"," 8"," 6"," 8"," 7"," 8","4","3","1","0","1","5","3500"," 9","205","0",1,1,1,452,113,0,0,0,10,10,0.5,50,40,1,1
"X120",1,2,"136","7","14.224b.9.6"," 432.636","0","3","E15 1RL","4"," 3"," 4","3"," 4"," 3","2","4"," 600"," 4","20"," 1",NA,"11","11","11","10","11","11","11","4","4","1","0","1","5","3500","10","136","1",1,1,1,453,114,0,0,0,50,10,1,5,40,5,1
"X120.1",2,2,"136","7","14.224b.9.6"," 432.636","0","3","E15 1RL","4"," 3"," 4","3"," 4"," 3","2","4"," 600"," 4","20"," 1",NA,"11","11","11","10","11","11","11","4","4","1","0","1","5","3500","10","136","1",1,1,1,454,114,0,0,0,5,90,2.5,10,10,0.5,1
"X120.2",3,2,"136","7","14.224b.9.6"," 432.636","0","3","E15 1RL","4"," 3"," 4","3"," 4"," 3","2","4"," 600"," 4","20"," 1",NA,"11","11","11","10","11","11","11","4","4","1","0","1","5","3500","10","136","1",1,1,1,455,114,0,0,0,50,90,2.5,5,40,1,1
"X120.3",4,2,"136","7","14.224b.9.6"," 432.636","0","3","E15 1RL","4"," 3"," 4","3"," 4"," 3","2","4"," 600"," 4","20"," 1",NA,"11","11","11","10","11","11","11","4","4","1","0","1","5","3500","10","136","1",1,1,1,456,114,0,0,0,50,40,2.5,10,90,5,1
"X121",1,3,"124","7","c32.bf3.c.7"," 495.390","0","4","KA25 6Eq","1"," 3"," 4","2"," 4"," 4","1","0","   0"," 4","20",NA," 1"," 9"," 8"," 9"," 9","10","10","10","3","3","1","0","1","4","4500","10","124","1",1,1,1,457,115,0,0,0,5,10,1,10,90,2.5,1
"X121.1",2,2,"124","7","c32.bf3.c.7"," 495.390","0","4","KA25 6Eq","1"," 3"," 4","2"," 4"," 4","1","0","   0"," 4","20",NA," 1"," 9"," 8"," 9"," 9","10","10","10","3","3","1","0","1","4","4500","10","124","1",1,1,1,458,115,0,0,0,10,40,5,50,10,0.5,1
"X121.2",3,3,"124","7","c32.bf3.c.7"," 495.390","0","4","KA25 6Eq","1"," 3"," 4","2"," 4"," 4","1","0","   0"," 4","20",NA," 1"," 9"," 8"," 9"," 9","10","10","10","3","3","1","0","1","4","4500","10","124","1",1,1,1,459,115,0,0,0,50,40,1,5,10,0.5,1
"X121.3",4,2,"124","7","c32.bf3.c.7"," 495.390","0","4","KA25 6Eq","1"," 3"," 4","2"," 4"," 4","1","0","   0"," 4","20",NA," 1"," 9"," 8"," 9"," 9","10","10","10","3","3","1","0","1","4","4500","10","124","1",1,1,1,460,115,0,0,0,10,10,0.5,50,40,1,1
"X122",1,3," 68","7","4bb.2b3.1.c"," 962.884","1","1","DH1 4PR","1"," 3"," 2","1"," 2"," 2","2","4","1000"," 3","10"," 1",NA,"11","11","11","11","11","11","11","5","4","1","1","1","4"," 750","10"," 68","1",1,1,1,461,116,0,0,0,50,10,1,5,40,5,1
"X122.1",2,2," 68","7","4bb.2b3.1.c"," 962.884","1","1","DH1 4PR","1"," 3"," 2","1"," 2"," 2","2","4","1000"," 3","10"," 1",NA,"11","11","11","11","11","11","11","5","4","1","1","1","4"," 750","10"," 68","1",1,1,1,462,116,0,0,0,5,90,2.5,10,10,0.5,1
"X122.2",3,2," 68","7","4bb.2b3.1.c"," 962.884","1","1","DH1 4PR","1"," 3"," 2","1"," 2"," 2","2","4","1000"," 3","10"," 1",NA,"11","11","11","11","11","11","11","5","4","1","1","1","4"," 750","10"," 68","1",1,1,1,463,116,0,0,0,50,90,2.5,5,40,1,1
"X122.3",4,2," 68","7","4bb.2b3.1.c"," 962.884","1","1","DH1 4PR","1"," 3"," 2","1"," 2"," 2","2","4","1000"," 3","10"," 1",NA,"11","11","11","11","11","11","11","5","4","1","1","1","4"," 750","10"," 68","1",1,1,1,464,116,0,0,0,50,40,2.5,10,90,5,1
"X123",1,1,"187","7","57c5.92.0.3"," 286.304","1","2","ex328jt","1"," 4"," 5","1"," 1"," 1","1","0"," 800"," 7","50"," 2",NA," 6"," 6"," 6"," 6"," 6"," 6"," 6","3","3","1","0","1","2"," 750"," 6","187","0",1,1,1,465,117,0,0,0,5,10,1,10,90,2.5,1
"X123.1",2,1,"187","7","57c5.92.0.3"," 286.304","1","2","ex328jt","1"," 4"," 5","1"," 1"," 1","1","0"," 800"," 7","50"," 2",NA," 6"," 6"," 6"," 6"," 6"," 6"," 6","3","3","1","0","1","2"," 750"," 6","187","0",1,1,1,466,117,0,0,0,10,40,5,50,10,0.5,1
"X123.2",3,1,"187","7","57c5.92.0.3"," 286.304","1","2","ex328jt","1"," 4"," 5","1"," 1"," 1","1","0"," 800"," 7","50"," 2",NA," 6"," 6"," 6"," 6"," 6"," 6"," 6","3","3","1","0","1","2"," 750"," 6","187","0",1,1,1,467,117,0,0,0,50,40,1,5,10,0.5,1
"X123.3",4,1,"187","7","57c5.92.0.3"," 286.304","1","2","ex328jt","1"," 4"," 5","1"," 1"," 1","1","0"," 800"," 7","50"," 2",NA," 6"," 6"," 6"," 6"," 6"," 6"," 6","3","3","1","0","1","2"," 750"," 6","187","0",1,1,1,468,117,0,0,0,10,10,0.5,50,40,1,1
"X124",1,3,"150","7","9.7f00.b2.2"," 388.748","1","5","NR25 6QH","1"," 4"," 3","2"," 4"," 3","2","4"," 200"," 3","10"," 1",NA,"10"," 9","10","10","10","11","11","4","3","1","1","1","3","2250"," 8","150","1",1,1,1,469,118,0,0,0,50,10,1,5,40,5,1
"X124.1",2,2,"150","7","9.7f00.b2.2"," 388.748","1","5","NR25 6QH","1"," 4"," 3","2"," 4"," 3","2","4"," 200"," 3","10"," 1",NA,"10"," 9","10","10","10","11","11","4","3","1","1","1","3","2250"," 8","150","1",1,1,1,470,118,0,0,0,5,90,2.5,10,10,0.5,1
"X124.2",3,3,"150","7","9.7f00.b2.2"," 388.748","1","5","NR25 6QH","1"," 4"," 3","2"," 4"," 3","2","4"," 200"," 3","10"," 1",NA,"10"," 9","10","10","10","11","11","4","3","1","1","1","3","2250"," 8","150","1",1,1,1,471,118,0,0,0,50,90,2.5,5,40,1,1
"X124.3",4,3,"150","7","9.7f00.b2.2"," 388.748","1","5","NR25 6QH","1"," 4"," 3","2"," 4"," 3","2","4"," 200"," 3","10"," 1",NA,"10"," 9","10","10","10","11","11","4","3","1","1","1","3","2250"," 8","150","1",1,1,1,472,118,0,0,0,50,40,2.5,10,90,5,1
"X125",1,2,"107","7","97c.20.16.2"," 675.085","1","5","NN10","1"," 2"," 4","2"," 4"," 4","2","4"," 600","10","80"," 1",NA,"11","11"," 9"," 9","11","11","11","3","3","0","1","0","5","2500","10","107","1",1,1,1,473,119,0,0,0,50,10,1,5,40,5,1
"X125.1",2,2,"107","7","97c.20.16.2"," 675.085","1","5","NN10","1"," 2"," 4","2"," 4"," 4","2","4"," 600","10","80"," 1",NA,"11","11"," 9"," 9","11","11","11","3","3","0","1","0","5","2500","10","107","1",1,1,1,474,119,0,0,0,5,90,2.5,10,10,0.5,1
"X125.2",3,2,"107","7","97c.20.16.2"," 675.085","1","5","NN10","1"," 2"," 4","2"," 4"," 4","2","4"," 600","10","80"," 1",NA,"11","11"," 9"," 9","11","11","11","3","3","0","1","0","5","2500","10","107","1",1,1,1,475,119,0,0,0,50,90,2.5,5,40,1,1
"X125.3",4,3,"107","7","97c.20.16.2"," 675.085","1","5","NN10","1"," 2"," 4","2"," 4"," 4","2","4"," 600","10","80"," 1",NA,"11","11"," 9"," 9","11","11","11","3","3","0","1","0","5","2500","10","107","1",1,1,1,476,119,0,0,0,50,40,2.5,10,90,5,1
"X126",1,1,"121","7","7.1.5005e.0"," 512.141","1","3","IP311JU","4"," 4"," 5","2"," 5"," 4","2","4"," 600"," 8","60"," 2",NA,"11","11","11","10","11","11"," 8","4","4","0","1","0","3","3500"," 8","121","0",1,1,1,477,120,0,0,0,50,10,1,5,40,5,1
"X126.1",2,2,"121","7","7.1.5005e.0"," 512.141","1","3","IP311JU","4"," 4"," 5","2"," 5"," 4","2","4"," 600"," 8","60"," 2",NA,"11","11","11","10","11","11"," 8","4","4","0","1","0","3","3500"," 8","121","0",1,1,1,478,120,0,0,0,5,90,2.5,10,10,0.5,1
"X126.2",3,2,"121","7","7.1.5005e.0"," 512.141","1","3","IP311JU","4"," 4"," 5","2"," 5"," 4","2","4"," 600"," 8","60"," 2",NA,"11","11","11","10","11","11"," 8","4","4","0","1","0","3","3500"," 8","121","0",1,1,1,479,120,0,0,0,50,90,2.5,5,40,1,1
"X126.3",4,1,"121","7","7.1.5005e.0"," 512.141","1","3","IP311JU","4"," 4"," 5","2"," 5"," 4","2","4"," 600"," 8","60"," 2",NA,"11","11","11","10","11","11"," 8","4","4","0","1","0","3","3500"," 8","121","0",1,1,1,480,120,0,0,0,50,40,2.5,10,90,5,1
"X127",1,2,"141","7","975.7e.e1.9"," 418.587","1","2","Le67 4bl","1"," 2"," 2","1"," 2"," 2","2","4","   0"," 8","60",NA," 1","10"," 9"," 9"," 9","10","10","10","3","3","0","1","1","4","1750","10","141","1",1,1,1,481,121,0,0,0,50,10,1,5,40,5,1
"X127.1",2,2,"141","7","975.7e.e1.9"," 418.587","1","2","Le67 4bl","1"," 2"," 2","1"," 2"," 2","2","4","   0"," 8","60",NA," 1","10"," 9"," 9"," 9","10","10","10","3","3","0","1","1","4","1750","10","141","1",1,1,1,482,121,0,0,0,5,90,2.5,10,10,0.5,1
"X127.2",3,2,"141","7","975.7e.e1.9"," 418.587","1","2","Le67 4bl","1"," 2"," 2","1"," 2"," 2","2","4","   0"," 8","60",NA," 1","10"," 9"," 9"," 9","10","10","10","3","3","0","1","1","4","1750","10","141","1",1,1,1,483,121,0,0,0,50,90,2.5,5,40,1,1
"X127.3",4,2,"141","7","975.7e.e1.9"," 418.587","1","2","Le67 4bl","1"," 2"," 2","1"," 2"," 2","2","4","   0"," 8","60",NA," 1","10"," 9"," 9"," 9","10","10","10","3","3","0","1","1","4","1750","10","141","1",1,1,1,484,121,0,0,0,50,40,2.5,10,90,5,1
"X128",1,3,"148","7","5.2d9c.18.2"," 404.644","0","3","ss39le","1"," 4"," 1","3"," 1"," 3","1","0"," 700"," 1"," 1"," 1",NA,"11"," 7","11"," 7"," 8"," 9","11","3","3","0","1","0","5","2750"," 9","148","1",1,1,1,485,122,0,0,0,5,10,1,10,90,2.5,1
"X128.1",2,1,"148","7","5.2d9c.18.2"," 404.644","0","3","ss39le","1"," 4"," 1","3"," 1"," 3","1","0"," 700"," 1"," 1"," 1",NA,"11"," 7","11"," 7"," 8"," 9","11","3","3","0","1","0","5","2750"," 9","148","1",1,1,1,486,122,0,0,0,10,40,5,50,10,0.5,1
"X128.2",3,2,"148","7","5.2d9c.18.2"," 404.644","0","3","ss39le","1"," 4"," 1","3"," 1"," 3","1","0"," 700"," 1"," 1"," 1",NA,"11"," 7","11"," 7"," 8"," 9","11","3","3","0","1","0","5","2750"," 9","148","1",1,1,1,487,122,0,0,0,50,40,1,5,10,0.5,1
"X128.3",4,1,"148","7","5.2d9c.18.2"," 404.644","0","3","ss39le","1"," 4"," 1","3"," 1"," 3","1","0"," 700"," 1"," 1"," 1",NA,"11"," 7","11"," 7"," 8"," 9","11","3","3","0","1","0","5","2750"," 9","148","1",1,1,1,488,122,0,0,0,10,10,0.5,50,40,1,1
"X129",1,2,"164","7","c3.5.68b2.5"," 363.006","1","1","PE37","1"," 2"," 3","2"," 3"," 4","2","4"," 200"," 4","20"," 1",NA," 9"," 7","10"," 8"," 7"," 9","10","5","5","0","0","1","3","1750"," 9","164","1",1,1,1,489,123,0,0,0,50,10,1,5,40,5,1
"X129.1",2,2,"164","7","c3.5.68b2.5"," 363.006","1","1","PE37","1"," 2"," 3","2"," 3"," 4","2","4"," 200"," 4","20"," 1",NA," 9"," 7","10"," 8"," 7"," 9","10","5","5","0","0","1","3","1750"," 9","164","1",1,1,1,490,123,0,0,0,5,90,2.5,10,10,0.5,1
"X129.2",3,2,"164","7","c3.5.68b2.5"," 363.006","1","1","PE37","1"," 2"," 3","2"," 3"," 4","2","4"," 200"," 4","20"," 1",NA," 9"," 7","10"," 8"," 7"," 9","10","5","5","0","0","1","3","1750"," 9","164","1",1,1,1,491,123,0,0,0,50,90,2.5,5,40,1,1
"X129.3",4,1,"164","7","c3.5.68b2.5"," 363.006","1","1","PE37","1"," 2"," 3","2"," 3"," 4","2","4"," 200"," 4","20"," 1",NA," 9"," 7","10"," 8"," 7"," 9","10","5","5","0","0","1","3","1750"," 9","164","1",1,1,1,492,123,0,0,0,50,40,2.5,10,90,5,1
"X130",1,1,"191","7","93.57e.45.5"," 301.558","1","1","M43 6nl","1"," 1"," 2","2"," 1"," 2","1","0"," 700"," 4","20"," 1",NA,"10"," 9"," 7"," 7"," 8"," 8"," 8","3","3","0","0","0","5","5000"," 9","191","1",1,1,1,493,124,0,0,0,5,10,1,10,90,2.5,1
"X130.1",2,1,"191","7","93.57e.45.5"," 301.558","1","1","M43 6nl","1"," 1"," 2","2"," 1"," 2","1","0"," 700"," 4","20"," 1",NA,"10"," 9"," 7"," 7"," 8"," 8"," 8","3","3","0","0","0","5","5000"," 9","191","1",1,1,1,494,124,0,0,0,10,40,5,50,10,0.5,1
"X130.2",3,3,"191","7","93.57e.45.5"," 301.558","1","1","M43 6nl","1"," 1"," 2","2"," 1"," 2","1","0"," 700"," 4","20"," 1",NA,"10"," 9"," 7"," 7"," 8"," 8"," 8","3","3","0","0","0","5","5000"," 9","191","1",1,1,1,495,124,0,0,0,50,40,1,5,10,0.5,1
"X130.3",4,1,"191","7","93.57e.45.5"," 301.558","1","1","M43 6nl","1"," 1"," 2","2"," 1"," 2","1","0"," 700"," 4","20"," 1",NA,"10"," 9"," 7"," 7"," 8"," 8"," 8","3","3","0","0","0","5","5000"," 9","191","1",1,1,1,496,124,0,0,0,10,10,0.5,50,40,1,1
"X131",1,3,"161","7","935.04.46.5"," 377.334","0","1","EX12QD","1"," 2"," 0","3"," 1"," 3","1","0","   0"," 9","70",NA," 1"," 9"," 5"," 7"," 7"," 7"," 7"," 8","3","3","0","0","1","5","2750","10","161","1",1,1,1,497,125,0,0,0,5,10,1,10,90,2.5,1
"X131.1",2,1,"161","7","935.04.46.5"," 377.334","0","1","EX12QD","1"," 2"," 0","3"," 1"," 3","1","0","   0"," 9","70",NA," 1"," 9"," 5"," 7"," 7"," 7"," 7"," 8","3","3","0","0","1","5","2750","10","161","1",1,1,1,498,125,0,0,0,10,40,5,50,10,0.5,1
"X131.2",3,3,"161","7","935.04.46.5"," 377.334","0","1","EX12QD","1"," 2"," 0","3"," 1"," 3","1","0","   0"," 9","70",NA," 1"," 9"," 5"," 7"," 7"," 7"," 7"," 8","3","3","0","0","1","5","2750","10","161","1",1,1,1,499,125,0,0,0,50,40,1,5,10,0.5,1
"X131.3",4,1,"161","7","935.04.46.5"," 377.334","0","1","EX12QD","1"," 2"," 0","3"," 1"," 3","1","0","   0"," 9","70",NA," 1"," 9"," 5"," 7"," 7"," 7"," 7"," 8","3","3","0","0","1","5","2750","10","161","1",1,1,1,500,125,0,0,0,10,10,0.5,50,40,1,1
"X132",1,3,"208","7","8c2e.20.d.f"," 251.288","0","1","N8","1"," 5"," 5","1"," 4"," 4","1","0"," 200","10","80"," 1",NA,"10"," 7"," 9","10","11","11","11","4","3","0","0","0","5","4500","10","208","1",1,1,1,501,126,0,0,0,5,10,1,10,90,2.5,1
"X132.1",2,2,"208","7","8c2e.20.d.f"," 251.288","0","1","N8","1"," 5"," 5","1"," 4"," 4","1","0"," 200","10","80"," 1",NA,"10"," 7"," 9","10","11","11","11","4","3","0","0","0","5","4500","10","208","1",1,1,1,502,126,0,0,0,10,40,5,50,10,0.5,1
"X132.2",3,2,"208","7","8c2e.20.d.f"," 251.288","0","1","N8","1"," 5"," 5","1"," 4"," 4","1","0"," 200","10","80"," 1",NA,"10"," 7"," 9","10","11","11","11","4","3","0","0","0","5","4500","10","208","1",1,1,1,503,126,0,0,0,50,40,1,5,10,0.5,1
"X132.3",4,3,"208","7","8c2e.20.d.f"," 251.288","0","1","N8","1"," 5"," 5","1"," 4"," 4","1","0"," 200","10","80"," 1",NA,"10"," 7"," 9","10","11","11","11","4","3","0","0","0","5","4500","10","208","1",1,1,1,504,126,0,0,0,10,10,0.5,50,40,1,1
"X133",1,3,"160","7","934.e6.5d.0"," 391.957","1","1","Mk40","1"," 3"," 3","2"," 3"," 5","2","4","1000"," 2"," 5"," 1",NA,"11"," 9","10"," 9","10","10","10","4","3","1","1","1","5","2250","10","160","1",1,1,1,505,127,0,0,0,50,10,1,5,40,5,1
"X133.1",2,2,"160","7","934.e6.5d.0"," 391.957","1","1","Mk40","1"," 3"," 3","2"," 3"," 5","2","4","1000"," 2"," 5"," 1",NA,"11"," 9","10"," 9","10","10","10","4","3","1","1","1","5","2250","10","160","1",1,1,1,506,127,0,0,0,5,90,2.5,10,10,0.5,1
"X133.2",3,3,"160","7","934.e6.5d.0"," 391.957","1","1","Mk40","1"," 3"," 3","2"," 3"," 5","2","4","1000"," 2"," 5"," 1",NA,"11"," 9","10"," 9","10","10","10","4","3","1","1","1","5","2250","10","160","1",1,1,1,507,127,0,0,0,50,90,2.5,5,40,1,1
"X133.3",4,3,"160","7","934.e6.5d.0"," 391.957","1","1","Mk40","1"," 3"," 3","2"," 3"," 5","2","4","1000"," 2"," 5"," 1",NA,"11"," 9","10"," 9","10","10","10","4","3","1","1","1","5","2250","10","160","1",1,1,1,508,127,0,0,0,50,40,2.5,10,90,5,1
"X134",1,2,"194","7","71.53.364.4"," 291.156","1","2","LA45SP","1"," 3"," 3","3"," 3"," 5","2","4"," 300"," 2"," 5"," 1",NA,"10"," 7"," 9"," 7"," 9","11"," 9","5","4","0","0","1","3","1750","10","194","1",1,1,1,509,128,0,0,0,50,10,1,5,40,5,1
"X134.1",2,3,"194","7","71.53.364.4"," 291.156","1","2","LA45SP","1"," 3"," 3","3"," 3"," 5","2","4"," 300"," 2"," 5"," 1",NA,"10"," 7"," 9"," 7"," 9","11"," 9","5","4","0","0","1","3","1750","10","194","1",1,1,1,510,128,0,0,0,5,90,2.5,10,10,0.5,1
"X134.2",3,2,"194","7","71.53.364.4"," 291.156","1","2","LA45SP","1"," 3"," 3","3"," 3"," 5","2","4"," 300"," 2"," 5"," 1",NA,"10"," 7"," 9"," 7"," 9","11"," 9","5","4","0","0","1","3","1750","10","194","1",1,1,1,511,128,0,0,0,50,90,2.5,5,40,1,1
"X134.3",4,3,"194","7","71.53.364.4"," 291.156","1","2","LA45SP","1"," 3"," 3","3"," 3"," 5","2","4"," 300"," 2"," 5"," 1",NA,"10"," 7"," 9"," 7"," 9","11"," 9","5","4","0","0","1","3","1750","10","194","1",1,1,1,512,128,0,0,0,50,40,2.5,10,90,5,1
"X135",1,3,"175","7","1.430.6ac.8"," 354.260","1","4","PA31 8JS","1"," 4"," 5","3"," 5"," 5","1","0"," 100"," 3","10"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","3","1250","10","175","1",1,1,1,513,129,0,0,0,5,10,1,10,90,2.5,1
"X135.1",2,3,"175","7","1.430.6ac.8"," 354.260","1","4","PA31 8JS","1"," 4"," 5","3"," 5"," 5","1","0"," 100"," 3","10"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","3","1250","10","175","1",1,1,1,514,129,0,0,0,10,40,5,50,10,0.5,1
"X135.2",3,3,"175","7","1.430.6ac.8"," 354.260","1","4","PA31 8JS","1"," 4"," 5","3"," 5"," 5","1","0"," 100"," 3","10"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","3","1250","10","175","1",1,1,1,515,129,0,0,0,50,40,1,5,10,0.5,1
"X135.3",4,2,"175","7","1.430.6ac.8"," 354.260","1","4","PA31 8JS","1"," 4"," 5","3"," 5"," 5","1","0"," 100"," 3","10"," 1",NA,"11","11","11","11","11","11","11","3","3","0","1","1","3","1250","10","175","1",1,1,1,516,129,0,0,0,10,10,0.5,50,40,1,1
"X136",1,3,"237","8","14.87.f0f.8"," 167.578","1","2","Cf48 1ls","1"," 5"," 5","2"," 4"," 4","1","0","1000","10","80"," 1",NA,"11","11","11","11","11","11","11","5","5","1","0","1","5","3500","10","237","1",1,1,1,517,130,0,0,0,5,10,1,10,90,2.5,1
"X136.1",2,2,"237","8","14.87.f0f.8"," 167.578","1","2","Cf48 1ls","1"," 5"," 5","2"," 4"," 4","1","0","1000","10","80"," 1",NA,"11","11","11","11","11","11","11","5","5","1","0","1","5","3500","10","237","1",1,1,1,518,130,0,0,0,10,40,5,50,10,0.5,1
"X136.2",3,2,"237","8","14.87.f0f.8"," 167.578","1","2","Cf48 1ls","1"," 5"," 5","2"," 4"," 4","1","0","1000","10","80"," 1",NA,"11","11","11","11","11","11","11","5","5","1","0","1","5","3500","10","237","1",1,1,1,519,130,0,0,0,50,40,1,5,10,0.5,1
"X136.3",4,3,"237","8","14.87.f0f.8"," 167.578","1","2","Cf48 1ls","1"," 5"," 5","2"," 4"," 4","1","0","1000","10","80"," 1",NA,"11","11","11","11","11","11","11","5","5","1","0","1","5","3500","10","237","1",1,1,1,520,130,0,0,0,10,10,0.5,50,40,1,1
"X137",1,1,"130","7","9d4a.1.3b.0"," 527.579","0","3","Bn35rb","1","-1"," 0","2","-2"," 3","2","4"," 200"," 9","70"," 2",NA," 8"," 6"," 7"," 6"," 3"," 3"," 3","3","3","1","0","0","2","2250","10","130","0",1,1,1,521,131,0,0,0,50,10,1,5,40,5,1
"X137.1",2,1,"130","7","9d4a.1.3b.0"," 527.579","0","3","Bn35rb","1","-1"," 0","2","-2"," 3","2","4"," 200"," 9","70"," 2",NA," 8"," 6"," 7"," 6"," 3"," 3"," 3","3","3","1","0","0","2","2250","10","130","0",1,1,1,522,131,0,0,0,5,90,2.5,10,10,0.5,1
"X137.2",3,3,"130","7","9d4a.1.3b.0"," 527.579","0","3","Bn35rb","1","-1"," 0","2","-2"," 3","2","4"," 200"," 9","70"," 2",NA," 8"," 6"," 7"," 6"," 3"," 3"," 3","3","3","1","0","0","2","2250","10","130","0",1,1,1,523,131,0,0,0,50,90,2.5,5,40,1,1
