"","X","RID","DURATION","Gender","AgeBracket","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","block","design_offset","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP","b_Price.ID","b_Price.post.mean","b_Price.post.sd","b_Performance_10.ID","b_Performance_10.post.mean","b_Performance_10.post.sd","b_Performance_50.ID","b_Performance_50.post.mean","b_Performance_50.post.sd","b_Emissions_40.ID","b_Emissions_40.post.mean","b_Emissions_40.post.sd","b_Emissions_90.ID","b_Emissions_90.post.mean","b_Emissions_90.post.sd","Order"
"303",303,300,569.776,0,5,1,3,3,2,2,3,0,7,50,NA,1,2,4,8,4,10,9,10,10,10,3,3,0,0,1,2,750,10,300,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0689928714869514,3,2,4,0.0625,105.055734173179,303,-0.0525102354590728,0.0930152768742375,303,1.42332999659242,0.570867295076564,303,0.525599607961259,0.0218729769987442,303,-0.79943280142269,0.399627633887999,303,-1.88409954248233,0.191489878971672,0
"304",304,318,516.139,1,1,1,1,2,2,3,5,0,9,70,NA,1,1,0,11,9,8,7,9,11,11,3,3,0,0,0,5,2250,9,318,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0316053394153311,2,1,3,0.0625,97.5943059872937,304,-1.64185118048108,1.02983206665791,304,1.68029454282116,0.517740799709632,304,0.526492089017558,0.0203630912863966,304,-0.645886915719221,0.395050775098466,304,-1.84521621075924,0.170262791628701,0
"305",305,302,567.72,0,5,1,2,1,2,1,2,300,1,1,1,NA,1,0,10,6,8,7,10,10,11,4,4,0,1,1,5,5000,9,302,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.000200020002667045,1,0,2,0.0625,89.1586347118086,305,-0.0665367805325417,0.112115831195041,305,1.41983368815839,0.571375418643178,305,0.526203703704417,0.0222116298915595,305,-0.785902844640647,0.412212834115053,305,-1.89242160873201,0.189191278309874,0
"306",306,313,530.122,1,5,1,4,1,2,1,1,200,3,10,1,NA,2,4,11,8,11,8,9,9,9,3,3,0,1,1,4,3500,10,313,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00286123228103223,1,0,2,0.0625,88.6373045572149,306,-0.0561938676814276,0.0942535464651888,306,1.38637280938152,0.563642368394005,306,0.526132572543704,0.0213711404179637,306,-0.788626221414372,0.411038743849153,306,-1.88523422157975,0.202343978769981,0
"307",307,341,439.968,0,4,1,2,4,2,4,4,300,1,1,1,NA,2,4,10,6,10,6,8,9,9,3,3,0,1,0,4,250,10,341,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00400802139753882,4,3,5,0.0625,135.08289348271,307,-0.18883100613031,0.287295262542236,307,1.43102410055549,0.575332246168824,307,0.527083605948348,0.0211883739157682,307,-0.788516763683695,0.410085925235298,307,-1.88822617163581,0.193464203490766,0
"308",308,257,789.625,0,4,1,-1,0,2,0,0,500,4,20,2,NA,2,4,6,1,3,3,2,2,2,3,3,1,0,0,4,5000,10,257,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.00400802139753882,0,-1,1,0.0625,74.5112724962047,308,-4.24536026185763,2.25640756875234,308,1.39927006174132,0.501222225443179,308,0.523204395134972,0.021159352110164,308,-0.690763581186417,0.326340177841289,308,-1.82739018584977,0.164748758101885,0
"309",309,327,518.802,1,2,3,3,3,2,3,3,0,6,40,NA,2,2,4,9,8,8,7,10,9,10,3,3,0,0,1,5,1750,6,327,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.0231224174208543,3,2,4,0.0625,114.74878759614,309,-0.206383426632762,0.303332998785652,309,1.40572440195675,0.566714335544328,309,0.525055232762971,0.0214402756873433,309,-0.764450887639869,0.419505634688886,309,-1.90025945954058,0.197971217457732,0
"310",310,384,308.876,1,4,1,3,2,2,3,3,400,8,60,2,NA,1,0,8,7,7,7,7,7,7,3,3,0,0,1,5,2500,10,384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0242926925690446,2,1,3,0.0625,99.0828306225952,310,-51.1439797876833,124.394541155028,310,1.59977708533235,0.524709064913965,310,0.525538714391961,0.0235293316335866,310,-0.711478400205725,0.379865873308918,310,-1.85712306674155,0.162979713578555,0
"311",311,358,409.808,1,3,1,4,4,2,4,4,300,2,5,1,NA,2,4,10,10,10,9,10,8,7,3,3,0,0,1,5,5000,10,358,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00100050033358353,4,3,5,0.0625,135.755789827335,311,-0.0609954051214736,0.101008987463712,311,1.41841474567809,0.589681567384437,311,0.526171297245613,0.0227961188981805,311,-0.780216831633349,0.412973862745358,311,-1.89610483796262,0.190773067514411,0
"312",312,377,336.311,1,3,1,5,5,1,5,5,600,10,80,1,NA,2,4,11,9,11,9,11,11,11,3,3,1,1,0,3,4500,10,377,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0179377006866673,5,5,5,0,148.964614633333,312,-0.0535297974240508,0.0908922962001697,312,1.40222826035097,0.588251488187483,312,0.525934481922926,0.0212798114041908,312,-0.803565329888161,0.388745497116059,312,-1.88686477806636,0.19507217993766,0
"313",313,363,390.737,1,3,1,4,3,2,3,2,500,6,40,1,NA,2,4,11,9,10,9,10,11,11,5,5,0,1,1,5,3500,10,363,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0114943794257351,3,2,4,0.0625,117.24740464663,313,-0.0607555463181478,0.108840662070942,313,1.40394468361407,0.584587890741403,313,0.526449428216938,0.0217315156277084,313,-0.774326336234096,0.397341598503154,313,-1.87475824194777,0.192515366725201,0
"314",314,310,572.875,0,2,1,1,1,2,1,2,200,10,80,1,NA,2,4,9,8,7,6,7,7,7,3,3,0,0,1,5,750,8,310,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.112795494145344,1,0,2,0.0625,68.2604010185587,314,-2.84486991787692,1.62541282886819,314,1.47882763760054,0.648256441728582,314,0.529948520984147,0.0206583683126795,314,-1.01702851068171,0.389526681763084,314,-1.82325070870071,0.206014855284504,0
"315",315,369,395.526,2,3,1,2,1,3,1,-3,0,7,50,NA,1,2,4,10,9,9,8,10,11,11,3,3,1,0,1,3,1750,10,369,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0289875368732523,1,-2,4,0.5625,81.0194734946738,315,-0.0595225883223981,0.098032340891868,315,1.43184915369969,0.577701663764797,315,0.526058608068905,0.0220231414240766,315,-0.778578132731234,0.414430676679954,315,-1.88384540364543,0.200064442650416,0
"316",316,251,840.464,1,1,4,2,4,1,4,3,1000,1,1,1,NA,1,0,11,9,10,10,11,11,11,4,4,0,0,1,5,5000,10,251,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.000200020002667045,4,4,4,0,136.313612170749,316,-0.292655991068903,0.476299271048211,316,1.39884540823244,0.579378609564404,316,0.52663741753287,0.0218368798965828,316,-0.83606647164215,0.433043009493556,316,-1.88547870182981,0.20037495180184,0
"317",317,380,352.895,1,2,1,3,3,3,3,5,200,8,60,1,NA,1,0,11,9,11,7,11,11,11,4,4,1,1,1,4,2750,7,380,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0220597180647322,3,0,6,0.5625,112.089635461775,317,-0.0633138362093378,0.110210152309551,317,1.42453681876078,0.559308306363222,317,0.526649235024895,0.0219267054561712,317,-0.769072985241208,0.386837974593784,317,-1.89127429800625,0.190332885643603,0
"318",318,360,424.106,1,3,1,2,3,3,-3,4,400,8,60,1,NA,1,0,10,6,10,8,9,10,10,3,3,0,0,1,4,1250,9,360,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0491902441907718,3,0,6,0.5625,106.366785703977,318,-0.0568214618006793,0.104991111544203,318,1.42995677533948,0.589156417474451,318,0.527057619310762,0.0219091532852947,318,-0.795407023775191,0.401855525693647,318,-1.89717928639692,0.190101668649663,0
"319",319,361,430.069,0,3,1,3,4,2,3,3,200,1,1,2,NA,1,0,11,7,11,7,9,9,10,3,3,1,0,0,5,2750,8,361,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.000363702495371245,4,3,5,0.0625,135.898362890984,319,-93.1169487079532,429.944527431485,319,1.48805103856421,0.582982041932564,319,0.523977331588777,0.0204183801932611,319,-0.716480717250739,0.362894581443335,319,-1.85474042454033,0.162404672885506,0
"320",320,321,582.567,1,5,1,5,5,2,5,5,400,4,20,1,NA,1,0,11,8,11,8,11,11,11,3,3,0,0,0,5,3500,10,321,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00573067470898498,5,4,6,0.0625,151.36801309462,320,-0.071277824846852,0.123211376317207,320,1.4239754424113,0.575062938573533,320,0.526647241758323,0.0220276298190533,320,-0.789928935194688,0.40336745830366,320,-1.88559002400574,0.200337735306518,0
"321",321,352,476.162,0,2,1,5,5,1,5,5,500,5,30,1,NA,2,4,11,5,11,11,11,11,11,3,3,1,1,0,5,2750,10,352,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0109690313705739,5,5,5,0,150.556366901262,321,-0.0554484797120806,0.0951138051040422,321,1.44121921402214,0.566965091237035,321,0.526662057917431,0.0216446951506804,321,-0.760872223388975,0.40621985546995,321,-1.88265356046511,0.203822862670417,0
"322",322,287,711.636,0,5,1,4,4,3,4,4,500,1,1,1,NA,1,0,9,9,9,9,10,10,10,3,3,1,0,0,4,1750,7,287,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.000571591898957653,4,1,7,0.5625,132.832174714702,322,-0.0710926592579845,0.124220417836447,322,1.43365520157579,0.583357616699912,322,0.526643763986513,0.0211145615563596,322,-0.822464151421143,0.403196423280826,322,-1.8893769647655,0.189931112484397,0
"323",323,416,218.933,0,2,4,2,3,1,1,2,200,4,20,1,NA,2,4,11,10,10,10,11,11,11,5,4,1,1,1,5,3500,10,416,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00573067470898498,3,3,3,0,118.85727728882,323,-1.24662248847768,0.918429951604078,323,1.45128565175283,0.583411408313002,323,0.52798073005235,0.022334544241439,323,-0.782756688358986,0.362670506523957,323,-1.84462619916541,0.198676848457145,0
"324",324,281,728.215,1,1,1,3,3,2,2,-2,0,8,60,NA,1,2,4,10,7,8,7,5,7,6,4,3,1,0,1,5,2250,10,281,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0270286723879193,3,2,4,0.0625,113.913006637394,324,-0.259753763106439,0.361435378625203,324,1.45377821408728,0.584808171170561,324,0.526669855584433,0.0221071251142649,324,-0.771585711809964,0.414865149688341,324,-1.88219165165862,0.194403590092397,0
"325",325,248,893.76,1,3,4,3,4,2,3,4,400,7,50,1,NA,1,0,10,9,8,8,10,10,9,4,4,0,0,1,5,1250,9,248,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0408219945202552,4,3,5,0.0625,126.911105521873,325,-0.209407899051199,0.339743493045665,325,1.3777920511163,0.546754019654161,325,0.525451078992185,0.0214609492153212,325,-0.781676056487468,0.411416725107062,325,-1.89439430171416,0.19911985615803,0
"326",326,403,268.488,0,2,1,2,2,2,1,2,100,6,40,2,NA,2,4,6,4,7,3,6,7,3,2,3,0,0,1,5,1250,3,403,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.0325231917055601,2,1,3,0.0625,97.4080493634708,326,-0.336720610378943,0.446075497568205,326,1.4930242945277,0.575243678475634,326,0.526016508274334,0.0223140493427705,326,-0.846877864306229,0.420476015355422,326,-1.85378997188767,0.199104482005502,0
"327",327,410,248.861,0,3,1,0,0,4,0,0,600,8,60,1,NA,1,0,8,7,7,7,7,7,7,3,3,1,1,1,4,4500,9,410,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0134230203321407,0,-5,5,1.5625,65.696185516392,327,-0.549369728261726,0.635334576830051,327,1.39129975368203,0.543049181502157,327,0.526718066404784,0.0218711127098993,327,-0.728114464547583,0.406360035423511,327,-1.89144384574538,0.196031587644212,0
"328",328,405,291.753,0,2,1,-3,0,1,0,3,200,10,80,2,NA,1,0,11,2,10,2,1,1,1,3,3,0,0,1,2,3500,9,405,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0231224174208543,0,0,0,0,71.3781056285301,328,-0.82882550106489,0.799077888210801,328,1.4541725906388,0.589855788932374,328,0.527979037251966,0.0225162458318963,328,-0.728782228988436,0.379565000559253,328,-1.87365879148091,0.186923205028828,0
"329",329,334,584.384,1,5,1,2,3,3,2,2,500,8,60,1,NA,2,4,8,1,8,1,8,8,8,3,3,1,0,1,4,1750,10,334,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0348872590004405,3,0,6,0.5625,109.371910169494,329,-2.65665372753315,1.6457118352769,329,1.39578972958937,0.577741544097578,329,0.52715791846234,0.0207826877797044,329,-0.950155270071608,0.358178111801598,329,-1.91932766337301,0.18951489856073,0
"330",330,338,560.518,2,1,1,3,2,3,2,5,400,4,20,1,NA,1,0,11,6,8,6,8,10,11,3,3,0,0,1,5,5000,10,338,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00400802139753882,2,-1,5,0.5625,100.466723205906,330,-0.616738806239211,0.683390873898457,330,1.5098526824796,0.580192844873472,330,0.527953030677274,0.0224183330035349,330,-0.685826706897323,0.423550851910524,330,-1.90368755727314,0.198118485690116,0
"331",331,247,932.164,0,3,1,4,4,2,4,4,200,8,60,1,NA,2,4,10,9,10,9,10,10,10,3,3,0,0,1,3,2750,9,247,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0220597180647322,4,3,5,0.0625,131.060453928622,331,-0.054490175223013,0.0966620212228292,331,1.43250222719226,0.565130362303413,331,0.525826108159367,0.0203952873631987,331,-0.770053518634445,0.413140404951062,331,-1.90055474598969,0.194293830196976,0
"332",332,394,349.55,0,1,1,4,4,2,3,5,200,5,30,2,NA,1,0,10,8,9,9,9,8,9,4,4,0,0,0,4,2750,9,394,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0109690313705739,4,3,5,0.0625,133.528402594375,332,-0.424010471571989,0.545630475716143,332,1.44956310774771,0.573071889038482,332,0.526055975248937,0.0215757875437391,332,-0.711222762609603,0.428552050851311,332,-1.87127283324246,0.194774583405224,0
"333",333,399,316.984,0,2,1,3,4,2,4,4,200,3,10,1,NA,2,4,10,2,9,2,10,10,10,4,4,1,0,1,4,3500,10,399,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00286123228103223,4,3,5,0.0625,135.339383886089,333,-0.0600072111698943,0.104089459661818,333,1.43044497643012,0.564718723791288,333,0.528141949613447,0.0221394913201194,333,-0.800303152456027,0.416133592177605,333,-1.88585902668543,0.201171517823026,0
"334",334,289,746.981,1,4,1,3,0,4,0,5,600,5,30,1,NA,1,0,11,8,10,8,10,10,10,3,3,1,1,1,5,2250,10,289,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0134230203321407,0,-5,5,1.5625,65.696185516392,334,-0.0643589538720181,0.112492678094498,334,1.42158568582748,0.568615933440466,334,0.526180775040517,0.0212080679155076,334,-0.841585005075811,0.394475129475175,334,-1.87541224403957,0.195186901946688,0
"335",335,322,637.335,1,3,1,3,2,4,0,5,400,7,50,1,NA,1,0,9,6,9,7,6,7,8,3,3,0,0,0,5,750,9,322,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0689928714869514,2,-3,7,1.5625,82.2704877842797,335,-4.50820599948868,2.55457541710833,335,1.44628394007792,0.473645910926085,335,0.527931981644366,0.0225375675437648,335,-0.586369663722212,0.360127402323944,335,-1.98614696483808,0.180959085035114,0
"336",336,349,535.2,1,3,1,4,5,2,5,5,400,9,70,1,NA,1,0,11,9,11,11,11,11,11,5,5,1,1,1,4,2250,10,349,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0316053394153311,5,4,6,0.0625,145.467950946185,336,-0.067017477124653,0.111852497237189,336,1.4153019609373,0.566411365653787,336,0.526542409409645,0.0221420249550371,336,-0.799282502809676,0.394894383872208,336,-1.88111152407909,0.193550738061255,0
"337",337,370,459.871,0,6,1,0,0,2,-1,-1,0,8,60,NA,2,1,0,2,1,6,6,6,6,6,3,3,0,0,1,4,2500,10,370,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,-0.0242926925690446,0,-1,1,0.0625,70.8697788210137,337,-0.1532492440956,0.258822290788825,337,1.42487141204535,0.590081682840722,337,0.527266300248928,0.0215133735373668,337,-0.769152780783328,0.396052805957478,337,-1.88116947183151,0.199165346388807,0
"338",338,389,398.249,1,2,3,2,0,3,0,0,0,9,70,NA,1,1,0,11,7,9,6,9,9,9,3,3,1,0,1,5,1750,10,389,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0408219945202552,0,-3,3,0.5625,65.6352439037239,338,-0.273336014574752,0.406138273875049,338,1.38911354144781,0.549685387723163,338,0.526807045361422,0.0223762365303867,338,-0.816300890143883,0.414112991648422,338,-1.87574848247943,0.201392786543682,0
"339",339,356,535.772,1,3,1,2,4,3,0,3,500,8,60,1,NA,2,4,11,4,9,8,7,8,9,3,3,0,0,1,5,4500,9,356,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0134230203321407,4,1,7,0.5625,129.977039749345,339,-2.82328193875731,1.90196186690156,339,1.37129151006774,0.551873529194104,339,0.529184506677599,0.0217743028830428,339,-0.966764956886641,0.392301992378543,339,-1.92987705291183,0.174253066329381,0
"340",340,390,400.494,1,3,1,3,4,2,4,4,200,5,30,2,NA,2,4,8,3,8,10,9,9,7,3,3,0,0,0,2,1750,8,390,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.017291497110061,4,3,5,0.0625,132.120157601895,340,-4.67208610126801,3.22094497723509,340,1.50272082919954,0.621809839431978,340,0.526264715714204,0.0228618248676954,340,-0.631329642447181,0.328839615720476,340,-1.97940662562914,0.177544250313383,0
"341",341,373,467.646,1,3,1,3,0,2,0,0,0,4,20,NA,1,2,4,6,3,9,3,6,6,6,3,3,0,0,1,5,2750,10,373,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00729930248161161,0,-1,1,0.0625,73.9146640456647,341,-0.178545332667882,0.27244422413147,341,1.42998029804164,0.557000111506864,341,0.527185449681842,0.0231634426647171,341,-0.79202709515275,0.408485449427086,341,-1.89236170580974,0.196434981197083,0
"342",342,372,486.201,1,3,1,5,1,2,1,3,800,5,30,1,NA,2,4,11,10,11,10,11,11,11,3,3,0,1,1,5,3500,10,372,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00860837453660016,1,0,2,0.0625,87.5156236396817,342,-0.0544243808888519,0.0941206589320824,342,1.42833147633019,0.560375356439889,342,0.525897958822679,0.0233628421371079,342,-0.809930632114434,0.409548523047338,342,-1.88592243345786,0.194668955513679,0
"343",343,407,321.599,0,1,3,3,2,2,3,3,1000,7,50,1,NA,1,0,9,8,9,7,9,9,8,3,3,0,0,1,5,2750,9,407,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.0183491386681965,2,1,3,0.0625,100.298604911681,343,-0.0561943699655735,0.0990948800321435,343,1.41884308788442,0.582571534011097,343,0.5264385023671,0.0221487585232652,343,-0.788107126348038,0.411575217514929,343,-1.88244241741166,0.199611610418089,0
"344",344,274,851.43,0,5,1,2,3,2,2,3,300,5,30,1,NA,2,4,11,9,11,9,9,10,10,3,3,0,0,0,5,3500,8,274,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.00860837453660016,3,2,4,0.0625,117.869972120239,344,-0.0622730846106923,0.104506646084029,344,1.41205000000509,0.579260915802699,344,0.524966856751996,0.0217584446633409,344,-0.806149695594516,0.390963469303503,344,-1.88465772806041,0.198404500827873,0
"345",345,258,927.758,0,2,1,5,4,2,4,4,500,7,50,1,NA,2,4,11,11,11,11,11,11,11,3,3,1,1,1,3,3500,10,258,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,-0.0143887374520996,4,3,5,0.0625,132.766271231645,345,-0.0569839160967645,0.0942273913529747,345,1.41894590098459,0.587666444637847,345,0.52618947786411,0.0216405124876269,345,-0.786250616693492,0.412565753572458,345,-1.88466142947678,0.196589408916555,0
"346",346,354,556.639,1,4,1,2,3,3,3,1,200,5,30,2,NA,2,4,9,5,10,7,10,11,11,3,3,0,1,0,5,750,7,354,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.0408219945202552,3,0,6,0.5625,108.121705194694,346,-2.68438637262434,1.69553868820436,346,1.37092644376649,0.555115665530203,346,0.525612181241208,0.0199932338830037,346,-0.963210676669208,0.363822929231515,346,-1.95891783545778,0.211426807338862,0
"347",347,443,188.582,0,5,1,1,0,2,-1,1,300,8,60,2,NA,2,4,1,1,1,1,1,1,1,3,3,0,0,0,5,4500,10,443,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,-0.0134230203321407,0,-1,1,0.0625,72.8105191588441,347,-59.0257362790336,113.197699659592,347,1.43650579219785,0.549098366722857,347,0.525231174312497,0.0194518151218063,347,-0.690334255213499,0.399327656019166,347,-1.85842733644573,0.187684653519326,0
"348",348,366,520.62,1,4,1,3,2,3,2,2,200,2,5,1,NA,1,0,9,7,8,7,9,9,9,3,3,1,0,1,1,5000,10,366,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,-0.00100050033358353,2,-1,5,0.5625,101.084281675602,348,-0.0726558110243232,0.129151596954735,348,1.43492659431047,0.570604061121821,348,0.526161705349362,0.0215525933117349,348,-0.822996758231254,0.397210912878716,348,-1.88103100274841,0.201882823586125,0
