"","X","RID","VERSION","IP","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","block","design_offset","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","CVProtests","CVProtestTexts","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","ConsequentialityText","Education","Income","Understanding","FreeText","RID.1","Choice_1","Choice_2","Choice_3","Choice_4","A1X1_1","A1X1_2","A1X1_3","A1X1_4","A1X2_1","A1X2_2","A1X2_3","A1X2_4","A1X3_1","A1X3_2","A1X3_3","A1X3_4","A2X1_1","A2X1_2","A2X1_3","A2X1_4","A2X2_1","A2X2_2","A2X2_3","A2X2_4","A2X3_1","A2X3_2","A2X3_3","A2X3_4","A3X1_1","A3X1_2","A3X1_3","A3X1_4","A3X2_1","A3X2_2","A3X2_3","A3X2_4","A3X3_1","A3X3_2","A3X3_3","A3X3_4","CV","Order","Transform1","WhatWillScienceSay","VarianceUpperBound","VarianceLowerBound","EstimatedVariance","ModelWTP"
"55",61,97,7,"97.f.8814.4",280.778,1,2,"TS29 6PP",1,1,2,2,2,2,2,4,300,7,50,1,NA,NA,NA,8,8,9,7,9,10,9,4,4,1,0,1,NA,3,3500,10,"Good survey hope it makes a difference",97,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0143887374520996,2,1,1,0.0625,103.290644539682
"56",62,55,7,"f2.f4.853.c",580.04,0,5,"NR31 9QY",1,3,2,2,0,-5,2,4,500,1,1,1,NA,NA,NA,11,11,11,7,8,9,10,3,3,1,0,0,"Unsure",2,2250,10,"Use images more",55,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.000444543239150158,2,1,1,0.0625,105.926164243959
"57",63,48,7,"90.2f4.45.c",707.368,1,5,"NP443JZ",1,3,5,2,4,4,1,0,300,9,70,1,NA,NA,NA,11,10,11,10,11,11,10,5,3,1,1,1,NA,5,750,10,"The text could be larger and more precise.",48,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0979804083602038,5,1,1,0.0625,113.517833992118
"58",64,78,7,"95.0d1.20.4",426.234,0,1,"Rh2 9ny",1,4,3,2,3,5,1,0,600,10,80,1,NA,NA,NA,10,8,9,7,10,11,11,3,4,1,0,0,"I think regulators only care about profit margins and not the long term impact of their decisions.",5,4500,10,"N/A",78,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0179377006866673,3,1,1,0.0625,111.319690213338
"59",65,80,7,"975a.4.c7.0",425.685,1,2,"B26 2nr",2,5,5,1,5,5,2,4,500,8,60,1,NA,NA,NA,9,9,11,11,11,11,11,3,3,0,0,1,NA,3,3500,8,"The survey didnt need improving",80,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.017291497110061,5,0,0,0,129.299759610622
"60",66,87,7,"8c2.f91.3.d",390.41,0,2,"NW10 8EY",4,1,2,2,1,2,1,0,700,3,10,1,NA,NA,NA,9,7,10,8,11,11,11,4,3,0,0,1,NA,4,3500,10,"No improvement needed",87,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00286123228103223,2,1,1,0.0625,105.467972326735
"61",67,86,7,"ac.dd.3c9.a",399.695,1,4,"b321nu",1,3,5,2,4,4,1,0,300,10,80,1,NA,NA,NA,11,11,11,11,11,11,11,4,4,0,0,1,NA,5,2250,10,"none neede. it was clear and easy to understand",86,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0362030486639606,5,1,1,0.0625,125.624329576251
"62",68,26,7,"7d5.6.c4d.b",1166.413,1,4,"BH9 1TH",1,5,3,3,0,0,1,0,100,5,30,1,NA,NA,NA,9,7,11,11,11,11,11,3,3,1,1,0,"I don't know if this may make a difference, but I doubt it will.",2,1250,10,"No comments.",26,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0242926925690446,3,3,3,0.5625,110.768143877899
"63",69,104,7,"91.4.83cc.1",273.106,1,1,"NG6 8YH",1,5,2,2,0,5,1,0,300,2,5,1,NA,NA,NA,11,8,11,6,10,10,10,3,3,0,0,0,"I don’t think politicians care enough about what the general public think",5,1750,10,"N/A",104,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00286123228103223,2,1,1,0.0625,105.467972326735
"64",70,98,7,"9d53.d5.d.8",359.521,1,2,"BH21 3SY",1,-1,1,3,1,3,1,0,500,1,1,1,NA,NA,NA,10,8,7,6,7,8,8,3,3,1,1,0,"Depends what is said",5,4500,7,"None",98,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.000222246917238848,1,3,3,0.5625,98.0492614419056
"65",71,99,7,"54.bb.ebd.0",366.593,1,1,"Ch5 3hy",1,3,3,1,2,3,1,0,0,3,10,NA,2,2,NA,7,5,8,8,10,9,8,3,3,0,0,0,"People don't get listened too",4,2250,10,"N/A",99,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.00445435034938031,3,0,0,0,113.838039699585
"66",72,66,7,"97.44.c82.d",583.943,0,4,"IG10 2QQ",1,1,3,2,2,0,2,4,600,2,5,2,NA,2,NA,6,5,7,5,8,7,7,2,3,1,0,0,"They just don't seem to be interested",2,4500,10,"I don't think anything needs improving. It was clear concise and easy to complete",66,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.00111172885269043,3,1,1,0.0625,114.570144050842
"67",73,61,7,"9.4b.5d81.0",651.917,1,4,"Le5",1,3,3,1,4,4,1,0,300,4,20,2,NA,4,NA,5,5,10,10,10,10,10,3,3,1,0,1,NA,3,750,7,".",61,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0270286723879193,3,0,0,0,109.490678473814
"68",74,74,7,"c39.01.d5.7",576.04,1,4,"ng34",1,4,3,3,0,2,1,0,100,6,40,1,NA,NA,NA,11,11,11,11,11,11,11,3,3,0,0,1,NA,5,2500,10,"not ask personal question, eg postcode",74,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0161293819298836,3,3,3,0.5625,112.339874934752
"69",75,106,7,"8fd.e1.03.e",350.261,1,1,"M5 3GF",1,1,3,3,-1,2,1,0,0,7,50,NA,2,1,NA,10,6,10,6,11,11,11,3,3,1,0,0,"It would take a lot more for them to take action",5,1750,8,"No comments",106,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0289875368732523,3,3,3,0.5625,109.866994532819
"70",76,110,7,"56.aaf.cb.a",327.222,1,3,"TR115UX",1,1,2,4,2,2,1,0,600,5,30,1,NA,NA,NA,9,9,8,8,10,10,11,4,4,1,0,1,NA,5,1750,10,"It was very clear, no need to improve",110,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.017291497110061,2,5,5,1.5625,104.716567568872
"71",77,63,7,"acb.38.e5.4",686.341,0,1,"La14",1,-2,1,3,1,1,2,4,300,6,40,2,NA,1,NA,9,2,7,2,7,8,9,3,3,1,1,1,NA,5,1750,6,"Explain the exact known process of how microplastics damage the environment in more detail with known data proving they are becoming a problem",63,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0231224174208543,1,3,3,0.5625,93.8389824190241
"72",78,79,7,"9b9.16.d0.7",594.72,0,2,"DL5 7BA",1,2,3,2,3,5,2,4,200,2,5,1,NA,NA,NA,10,9,8,6,9,10,4,4,3,1,0,1,NA,4,3500,9,"There is always room for improvement that why i gave a 9",79,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00142959280959443,3,1,1,0.0625,114.508508026445
"73",79,100,7,"56a.e6.96.a",467.13,1,3,"Ss12 9rd",1,2,3,3,3,5,1,0,200,10,80,1,NA,NA,NA,10,6,9,6,10,10,10,3,3,1,1,1,NA,5,2750,10,"Seemed clear to me",100,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0295224392663217,3,3,3,0.5625,109.764453661803
"74",80,58,7,"9.7c38.db.0",767.554,1,4,"EH52 6BP",1,1,2,2,2,1,2,4,300,3,10,1,NA,NA,NA,8,8,8,8,9,10,11,3,3,1,1,1,NA,4,1750,10,"Doent require change",58,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00573067470898498,2,1,1,0.0625,104.924709898427
"75",81,118,7,"ac.d02.6b.f",304.587,1,2,"Ng138dy",1,-3,2,2,-1,1,2,4,800,7,50,2,NA,2,NA,4,8,5,4,4,6,5,4,4,1,0,1,NA,5,1750,7,"Less things to read",118,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0289875368732523,2,1,1,0.0625,100.553336191934
"76",82,114,7,"975a.03.c.e",320.121,0,1,"CB5 8QQ",2,4,4,4,1,1,1,0,400,4,20,1,NA,NA,NA,11,9,10,10,8,9,10,3,3,0,1,1,NA,5,4500,10,"N-A",114,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00445435034938031,4,5,5,1.5625,124.928943914615
"77",83,129,7,"de8.7e3.f.4",208.67,1,1,"IP4 1LN",4,3,0,4,3,5,1,0,200,8,60,1,NA,NA,NA,9,6,9,6,6,6,9,3,3,1,0,1,NA,4,4500,10,"I think it was perfect and fun to fill",129,1,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0134230203321407,0,5,5,1.5625,88.5919969356122
"78",84,93,7,"9.f8.9ef7.7",527.168,1,3,"Tn37 6db",1,4,5,1,5,4,2,4,300,8,60,2,NA,4,NA,11,6,8,8,11,11,11,4,4,0,1,0,"Nothing ever change",4,1250,5,"Ok",93,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,0,1,-0.0491902441907718,5,0,0,0,122.968870907429
"79",85,113,7,"9.7f.fedf.f",341.005,0,1,"Pa5 0tl",1,4,4,2,1,5,1,0,0,6,40,NA,2,1,NA,10,9,10,8,9,10,10,4,3,1,0,1,NA,2,2500,10,"Very clear",113,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0161293819298836,4,1,1,0.0625,120.562690551004
"80",86,109,7,"8.e0.8dcf.d",404.688,1,3,"pr2 6sf",4,3,4,2,5,5,1,0,300,9,70,1,NA,NA,NA,11,11,11,11,11,11,11,3,3,1,0,1,NA,5,3500,8,"nothing to add",109,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0202027073175195,4,1,1,0.0625,119.763232040418
"81",87,95,7,"de3.6a.26.2",546.151,1,3,"CF426RE",1,0,0,2,0,0,1,0,500,10,80,1,NA,NA,NA,11,11,11,11,11,11,11,3,3,1,1,1,NA,3,2750,5,"Little difficult to understand but maybe that was my understanding",95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0295224392663217,0,1,1,0.0625,83.8917452384911
"82",88,120,7,"c3.962.9d.1",285.908,1,2,"SM2 5JL",1,4,3,1,3,3,1,0,200,5,30,1,NA,NA,NA,11,8,9,10,9,9,10,5,4,1,0,1,NA,5,5000,10,"Na",120,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00601807232556302,3,0,0,0,113.535421546439
"83",89,102,7,"c40.a.be5.6",477.38,0,4,"NN15 6GL",3,4,5,2,5,5,1,0,800,10,80,1,NA,NA,NA,11,11,11,11,11,9,6,5,3,1,1,1,NA,5,4500,10,"Please could you share the survey outcome with official authorities so that the changes can be implemented and future generations can live without the threat of this.",102,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0179377006866673,5,1,1,0.0625,129.25778464525
"84",90,65,7,"97d9.9.90.e",754.592,1,2,"Ky1 1bd",1,-1,1,3,0,0,1,0,400,5,30,1,NA,NA,NA,8,6,6,5,7,8,9,4,3,1,0,1,NA,2,1750,10,"I found this surgery easy to follow and informative.",65,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.017291497110061,1,3,3,0.5625,94.9050821933944
"85",91,77,7,"93.446.7c.4",677.886,0,1,"cv1 2bd",4,5,5,1,2,0,2,4,0,5,30,NA,1,NA,NA,11,10,11,10,10,11,11,3,3,0,0,0,"Changing to more enviro friendly methods is more costly, timely and requires actual cooperation with business (also punishments for non-compliant ones) - but we already see the power that Chinese, Russian and UAE businesses etc. have and their methods harm the environment yet they are not sufficiently challenged by regulators",4,2500,7,"N/a",77,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0120725812342692,5,0,0,0,130.34204961254
"86",92,64,7,"93.4ad.90.3",767.115,0,4,"SE22 8LB",1,3,4,2,3,0,2,4,500,1,1,1,NA,NA,NA,11,10,10,9,9,10,10,3,3,1,1,0,"The present Tory government won't be interested. They only represent the interests of the wealthy and big business.",5,5000,10,"I can't think of anything.",64,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.000200020002667045,4,1,1,0.0625,123.701179570308
"87",93,163,7,"e.f0b.df9.4",126.73,0,1,"OL129RT",3,3,3,2,3,2,1,0,200,5,30,1,NA,NA,NA,7,7,9,7,9,7,9,4,4,1,1,1,NA,5,3500,10,"Good survey",163,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00860837453660016,3,1,1,0.0625,113.118833801366
"88",94,122,7,"c33.2.ca8.9",289.923,1,1,"eh6 4ap",1,3,3,1,3,5,2,4,300,5,30,1,NA,NA,NA,11,8,11,8,11,11,11,3,3,1,1,0,"capitalism wins",5,2250,6,"better text e.g. font size and boldness",122,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0134230203321407,3,0,0,0,112.105322040398
"89",95,92,7,"15a.e3d.7.d",598.721,0,3,"NR46XN",1,1,0,3,-1,5,2,4,500,5,30,1,NA,NA,NA,11,8,10,6,9,10,10,3,3,1,1,1,NA,5,3500,10,"Perfectly clear",92,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00860837453660016,0,3,3,0.5625,88.2063608867474
"90",96,159,7,"9.b9.e283.b",165.657,0,1,"ka8 0dg",3,5,5,2,5,5,2,4,100,7,50,1,NA,NA,NA,11,11,11,11,11,11,11,5,5,1,0,1,NA,5,3500,8,"nothing.good survey",159,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0143887374520996,5,1,1,0.0625,129.966324412497
"91",97,111,7,"9f.4.f7c9.9",441.568,1,4,"PL71SZ",1,4,2,2,2,2,2,4,400,2,5,1,NA,NA,NA,10,10,11,10,10,11,10,3,3,1,0,1,NA,5,1250,10,"Not sure, maybe more images?",111,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00400802139753882,2,1,1,0.0625,105.25075381182
"92",98,131,7,"538.dc.9f.c",308.979,1,3,"SP4 8EJ",1,4,4,2,5,5,1,0,600,4,20,2,NA,1,NA,11,10,11,11,11,11,11,5,5,1,0,1,NA,4,1250,10,"More examples of the impact",131,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0161293819298836,4,1,1,0.0625,120.562690551004
"93",99,138,7,"14.87.f5b.9",275.081,1,1,"Ts66hw",3,1,1,2,1,2,1,0,0,10,80,NA,2,2,NA,9,6,8,6,9,9,9,3,3,1,0,0,"It takes more than a survey for change",4,2250,10,"It was easy to navigate",138,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0362030486639606,1,1,1,0.0625,90.8328510681315
"94",100,172,7,"934.92.3c.4",182.611,0,1,"ch622bg",1,3,5,2,4,3,1,0,300,2,5,1,NA,NA,NA,7,4,9,7,6,8,9,3,4,1,1,1,NA,5,5000,8,"N/A",172,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00100050033358353,5,1,1,0.0625,132.646387031032
"95",101,70,7,"c.394.68f.0",807.057,1,1,"NG10 3NZ",1,3,4,2,3,3,2,4,400,9,70,1,NA,NA,NA,11,9,11,6,9,11,11,3,3,1,1,0,"A lot of big companies care more about money than the environment. The government don't care about people and animals either",4,1750,8,"The explanation pages prior to the questions asking whether you'd prefer option A, B or C were very confusing, they didn't really help and it was too much information for the question itself. It was only when the question with the table came up did I understand what to do",70,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0408219945202552,4,1,1,0.0625,115.73667120036
"96",102,119,7,"974.41f.6.1",421.282,1,4,"WD5 0PJ",1,1,2,4,3,2,1,0,100,4,20,2,NA,1,NA,10,8,10,9,11,10,11,3,3,1,0,0,"Don't know",5,1750,8,"Don't know",119,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0114943794257351,2,5,5,1.5625,105.814329802317
"97",103,147,7,"91.4cc8.d.c",272.279,1,1,"WS15 2LY",1,2,4,2,2,5,2,4,0,3,10,NA,1,NA,NA,10,10,8,8,10,11,11,3,3,1,0,1,NA,5,2500,10,"nothing",147,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00400802139753882,4,1,1,0.0625,122.949191842751
"98",104,116,7,"97.413.bf.5",462.85,1,2,"so53 3gh",1,2,2,2,2,2,2,4,400,1,1,1,NA,NA,NA,11,8,8,8,8,9,10,3,3,0,0,1,NA,5,3500,10,"I found it easy to follow",116,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.000285755109817069,2,1,1,0.0625,105.956290280325
"99",105,158,7,"91.4cd.db.0",240.612,1,1,"SW81PP",1,5,4,2,4,4,1,0,200,6,40,1,NA,NA,NA,11,8,11,9,11,11,11,3,3,1,1,0,"Regulators take a long time to implement change and follow the money e.g. the consumer product businesses who create these microplastics",5,1750,10,"n/a",158,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.0231224174208543,4,1,1,0.0625,119.19098693229
"100",106,133,7,"936c.d.24.a",358.506,1,1,"Bs10 6fg",1,2,2,2,2,2,2,4,700,3,10,1,NA,NA,NA,11,9,11,8,10,11,11,3,3,1,1,1,NA,5,4500,9,"None",133,3,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00222469502211116,2,1,1,0.0625,105.588599298907
"101",107,149,7,"14.216.3c.3",304.125,0,2,"BN2 3EG",1,3,2,3,2,3,2,4,400,1,1,1,NA,NA,NA,11,9,9,8,8,8,8,2,3,1,0,1,NA,5,2250,10,"Great survey",149,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.000444543239150158,2,3,3,0.5625,106.5882690266
"102",108,112,7,"acd.4.629.a",544.429,1,5,"WA1 4QW",1,2,3,2,3,3,2,4,200,8,60,1,NA,NA,NA,10,7,10,7,10,10,10,3,4,0,0,1,NA,3,2250,9,"Have the writing in the panels larger as seemed very small on PC screen",112,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0270286723879193,3,1,1,0.0625,109.574169198428
"103",109,125,7,"8f.1c.173.5",441.001,0,1,"Pe13",1,2,2,4,2,1,1,0,400,10,80,2,NA,2,NA,9,9,8,9,10,11,11,1,1,1,0,1,NA,4,2500,5,"Simplified language easy to absorb",125,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0325231917055601,2,5,5,1.5625,101.848854638956
"104",110,167,7,"9.638.53b.8",285.54,0,2,"Pe10 9ty",1,3,4,2,2,3,1,0,400,4,20,1,NA,NA,NA,2,1,11,8,11,11,10,3,3,1,1,1,NA,5,3500,10,"No comments",167,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00573067470898498,4,1,1,0.0625,122.609358888846
"105",111,101,7,"9f4.8b.ee.0",677.238,1,1,"NG5",1,4,2,2,1,5,1,0,400,10,80,2,NA,6,"Could not afford and cost should not be shifted to us. It’s not just our responsibility.",11,7,11,8,10,11,6,3,3,0,0,0,"Probably won’t listen because it’s just our opinion rather than actual behaviour",5,2250,10,"Back button to change answers",101,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,0,1,-0.0362030486639606,2,1,1,0.0625,99.2090119002098
"106",112,209,7,"9d.4e6.f2.f",171.857,1,1,"PR5 4BD",1,2,3,1,3,3,2,4,300,2,5,1,NA,NA,NA,8,5,6,3,6,4,7,3,3,1,1,1,NA,5,1250,10,NA,209,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00400802139753882,3,0,0,0,113.924454429064
"107",113,152,7,"9.75.0865.e",338.818,0,4,"sl4 2qu",1,0,0,2,0,0,2,4,700,9,70,1,NA,NA,NA,11,9,11,7,6,6,6,3,3,0,1,1,NA,5,3500,10,"none",152,2,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.0202027073175195,0,1,1,0.0625,85.5299825503415
"108",114,146,7,"97d.fc.72.4",374.027,1,2,"GL2 2JB",1,1,0,2,-1,2,1,0,200,3,10,1,NA,NA,NA,11,10,11,8,8,10,11,5,5,0,0,1,NA,4,3500,10,"No comments",146,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,2,2,1,2,4,2,1,2,3,1,3,3,1,1,2,3,1,1,2,1,1,-0.00286123228103223,0,1,1,0.0625,88.6101475546478
"109",115,179,7,"c40f.4c.d.8",287.962,1,2,"PA19 1RQ",1,3,3,2,3,3,2,4,200,1,1,1,NA,NA,NA,10,9,10,9,10,10,10,3,3,0,0,1,NA,3,3500,10,"None",179,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.000285755109817069,3,1,1,0.0625,114.730346782101
"110",116,117,7,"91.652.cb.c",556.164,1,4,"BA1 3LQ",1,5,4,2,4,5,2,4,400,4,20,1,NA,NA,NA,11,11,11,11,11,11,11,4,5,0,0,1,NA,4,4500,10,"I enjoyed the survey, not sure that it needs improving.",117,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,1,3,3,2,2,3,3,3,1,2,1,2,2,1,2,3,4,1,2,4,1,1,-0.00445435034938031,4,1,1,0.0625,122.861122205384
