"","X","Task","Choice","RID","DURATION","Gender","AgeBracket","Postcode","Ethnicity","MeanExpectedCurrent","MeanExpectedFuture","Variance","MeanExpectedBest","MeanExpectedWorst","WaterBills","BidLevelFrequency","Bid","WaterBills.1","CouncilTax","block","design_offset","Q16_ClimateCurrentEnvironment","Q16_ClimateCurrentSelf","Q16_MicroplasticsCurrentEnvironment","Q16_MicroplasticsCurrentSelf","Q16_MicroplasticsTen","Q16_MicroplasticsTwentyFive","Q16_MicroplasticsFifty","Q17_PandemicEnvironment","Q17_PandemicMicroplastics","Coronavirus","Charity","Consequentiality","Education","Income","Understanding","RID.1","CV","av_A","av_B","av_C","ID","Respondent","Performance_A","Emission_A","Price_A","Performance_B","Emission_B","Price_B","Performance_C","Emission_C","Price_C"
"861","X216",1,1,256,336.867,0,1,"G53 7sZ",1,1,2,2,1,5,300,2,5,1,NA,2,4,11,8,9,6,9,10,11,3,3,1,0,0,5,4500,9,256,1,1,1,1,861,216,0,0,0,50,10,1,5,40,5
"862","X216.1",2,2,256,336.867,0,1,"G53 7sZ",1,1,2,2,1,5,300,2,5,1,NA,2,4,11,8,9,6,9,10,11,3,3,1,0,0,5,4500,9,256,1,1,1,1,862,216,0,0,0,5,90,2.5,10,10,0.5
"863","X216.2",3,3,256,336.867,0,1,"G53 7sZ",1,1,2,2,1,5,300,2,5,1,NA,2,4,11,8,9,6,9,10,11,3,3,1,0,0,5,4500,9,256,1,1,1,1,863,216,0,0,0,50,90,2.5,5,40,1
"864","X216.3",4,1,256,336.867,0,1,"G53 7sZ",1,1,2,2,1,5,300,2,5,1,NA,2,4,11,8,9,6,9,10,11,3,3,1,0,0,5,4500,9,256,1,1,1,1,864,216,0,0,0,50,40,2.5,10,90,5
"865","X217",1,3,244,405.608,1,6,"PO2 0QX",1,5,5,1,5,5,200,8,60,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,1,1,3,3500,10,244,1,1,1,1,865,217,0,0,0,5,10,1,10,90,2.5
"866","X217.1",2,2,244,405.608,1,6,"PO2 0QX",1,5,5,1,5,5,200,8,60,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,1,1,3,3500,10,244,1,1,1,1,866,217,0,0,0,10,40,5,50,10,0.5
"867","X217.2",3,2,244,405.608,1,6,"PO2 0QX",1,5,5,1,5,5,200,8,60,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,1,1,3,3500,10,244,1,1,1,1,867,217,0,0,0,50,40,1,5,10,0.5
"868","X217.3",4,3,244,405.608,1,6,"PO2 0QX",1,5,5,1,5,5,200,8,60,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,1,1,3,3500,10,244,1,1,1,1,868,217,0,0,0,10,10,0.5,50,40,1
"869","X218",1,3,192,681.134,1,4,"SN66EN",1,3,3,2,5,5,400,10,80,1,NA,2,4,11,11,11,11,10,11,11,5,5,0,1,1,5,1750,10,192,1,1,1,1,869,218,0,0,0,50,10,1,5,40,5
"870","X218.1",2,3,192,681.134,1,4,"SN66EN",1,3,3,2,5,5,400,10,80,1,NA,2,4,11,11,11,11,10,11,11,5,5,0,1,1,5,1750,10,192,1,1,1,1,870,218,0,0,0,5,90,2.5,10,10,0.5
"871","X218.2",3,3,192,681.134,1,4,"SN66EN",1,3,3,2,5,5,400,10,80,1,NA,2,4,11,11,11,11,10,11,11,5,5,0,1,1,5,1750,10,192,1,1,1,1,871,218,0,0,0,50,90,2.5,5,40,1
"872","X218.3",4,3,192,681.134,1,4,"SN66EN",1,3,3,2,5,5,400,10,80,1,NA,2,4,11,11,11,11,10,11,11,5,5,0,1,1,5,1750,10,192,1,1,1,1,872,218,0,0,0,50,40,2.5,10,90,5
"873","X219",1,1,217,540.715,1,2,"DA2 6BF",1,-3,-3,4,1,1,300,7,50,2,NA,2,4,7,2,7,2,8,6,8,3,3,1,0,0,3,3500,8,217,0,1,1,1,873,219,0,0,0,50,10,1,5,40,5
"874","X219.1",2,1,217,540.715,1,2,"DA2 6BF",1,-3,-3,4,1,1,300,7,50,2,NA,2,4,7,2,7,2,8,6,8,3,3,1,0,0,3,3500,8,217,0,1,1,1,874,219,0,0,0,5,90,2.5,10,10,0.5
"875","X219.2",3,1,217,540.715,1,2,"DA2 6BF",1,-3,-3,4,1,1,300,7,50,2,NA,2,4,7,2,7,2,8,6,8,3,3,1,0,0,3,3500,8,217,0,1,1,1,875,219,0,0,0,50,90,2.5,5,40,1
"876","X219.3",4,1,217,540.715,1,2,"DA2 6BF",1,-3,-3,4,1,1,300,7,50,2,NA,2,4,7,2,7,2,8,6,8,3,3,1,0,0,3,3500,8,217,0,1,1,1,876,219,0,0,0,50,40,2.5,10,90,5
"877","X220",1,1,246,415.644,1,1,"cb58ss",1,3,1,3,0,5,800,10,80,1,NA,2,4,11,7,10,8,10,11,11,3,3,1,0,1,5,2750,10,246,1,1,1,1,877,220,0,0,0,50,10,1,5,40,5
"878","X220.1",2,2,246,415.644,1,1,"cb58ss",1,3,1,3,0,5,800,10,80,1,NA,2,4,11,7,10,8,10,11,11,3,3,1,0,1,5,2750,10,246,1,1,1,1,878,220,0,0,0,5,90,2.5,10,10,0.5
"879","X220.2",3,3,246,415.644,1,1,"cb58ss",1,3,1,3,0,5,800,10,80,1,NA,2,4,11,7,10,8,10,11,11,3,3,1,0,1,5,2750,10,246,1,1,1,1,879,220,0,0,0,50,90,2.5,5,40,1
"880","X220.3",4,1,246,415.644,1,1,"cb58ss",1,3,1,3,0,5,800,10,80,1,NA,2,4,11,7,10,8,10,11,11,3,3,1,0,1,5,2750,10,246,1,1,1,1,880,220,0,0,0,50,40,2.5,10,90,5
"881","X221",1,1,276,282.81,1,1,"LS61DU",3,5,5,2,5,5,100,1,1,2,NA,1,0,11,11,11,11,11,11,11,5,5,1,0,1,5,5000,6,276,0,1,1,1,881,221,0,0,0,5,10,1,10,90,2.5
"882","X221.1",2,1,276,282.81,1,1,"LS61DU",3,5,5,2,5,5,100,1,1,2,NA,1,0,11,11,11,11,11,11,11,5,5,1,0,1,5,5000,6,276,0,1,1,1,882,221,0,0,0,10,40,5,50,10,0.5
"883","X221.2",3,1,276,282.81,1,1,"LS61DU",3,5,5,2,5,5,100,1,1,2,NA,1,0,11,11,11,11,11,11,11,5,5,1,0,1,5,5000,6,276,0,1,1,1,883,221,0,0,0,50,40,1,5,10,0.5
"884","X221.3",4,1,276,282.81,1,1,"LS61DU",3,5,5,2,5,5,100,1,1,2,NA,1,0,11,11,11,11,11,11,11,5,5,1,0,1,5,5000,6,276,0,1,1,1,884,221,0,0,0,10,10,0.5,50,40,1
"885","X222",1,3,270,316.86,1,5,"YO31",1,2,2,2,2,2,300,7,50,1,NA,2,4,9,8,9,8,9,9,9,3,3,0,0,1,4,3500,10,270,1,1,1,1,885,222,0,0,0,50,10,1,5,40,5
"886","X222.1",2,2,270,316.86,1,5,"YO31",1,2,2,2,2,2,300,7,50,1,NA,2,4,9,8,9,8,9,9,9,3,3,0,0,1,4,3500,10,270,1,1,1,1,886,222,0,0,0,5,90,2.5,10,10,0.5
"887","X222.2",3,3,270,316.86,1,5,"YO31",1,2,2,2,2,2,300,7,50,1,NA,2,4,9,8,9,8,9,9,9,3,3,0,0,1,4,3500,10,270,1,1,1,1,887,222,0,0,0,50,90,2.5,5,40,1
"888","X222.3",4,3,270,316.86,1,5,"YO31",1,2,2,2,2,2,300,7,50,1,NA,2,4,9,8,9,8,9,9,9,3,3,0,0,1,4,3500,10,270,1,1,1,1,888,222,0,0,0,50,40,2.5,10,90,5
"889","X223",1,3,286,253.528,1,1,"NE23RD",1,3,5,2,5,5,0,5,30,NA,1,1,0,11,11,11,11,11,11,11,3,3,0,1,1,4,2500,10,286,1,1,1,1,889,223,0,0,0,5,10,1,10,90,2.5
"890","X223.1",2,2,286,253.528,1,1,"NE23RD",1,3,5,2,5,5,0,5,30,NA,1,1,0,11,11,11,11,11,11,11,3,3,0,1,1,4,2500,10,286,1,1,1,1,890,223,0,0,0,10,40,5,50,10,0.5
"891","X223.2",3,2,286,253.528,1,1,"NE23RD",1,3,5,2,5,5,0,5,30,NA,1,1,0,11,11,11,11,11,11,11,3,3,0,1,1,4,2500,10,286,1,1,1,1,891,223,0,0,0,50,40,1,5,10,0.5
"892","X223.3",4,3,286,253.528,1,1,"NE23RD",1,3,5,2,5,5,0,5,30,NA,1,1,0,11,11,11,11,11,11,11,3,3,0,1,1,4,2500,10,286,1,1,1,1,892,223,0,0,0,10,10,0.5,50,40,1
"893","X224",1,3,224,531.852,0,2,"B27 7AQ",1,2,3,2,4,5,200,4,20,1,NA,2,4,11,8,9,7,10,11,11,4,3,0,1,1,3,5000,10,224,1,1,1,1,893,224,0,0,0,50,10,1,5,40,5
"894","X224.1",2,2,224,531.852,0,2,"B27 7AQ",1,2,3,2,4,5,200,4,20,1,NA,2,4,11,8,9,7,10,11,11,4,3,0,1,1,3,5000,10,224,1,1,1,1,894,224,0,0,0,5,90,2.5,10,10,0.5
"895","X224.2",3,3,224,531.852,0,2,"B27 7AQ",1,2,3,2,4,5,200,4,20,1,NA,2,4,11,8,9,7,10,11,11,4,3,0,1,1,3,5000,10,224,1,1,1,1,895,224,0,0,0,50,90,2.5,5,40,1
"896","X224.3",4,3,224,531.852,0,2,"B27 7AQ",1,2,3,2,4,5,200,4,20,1,NA,2,4,11,8,9,7,10,11,11,4,3,0,1,1,3,5000,10,224,1,1,1,1,896,224,0,0,0,50,40,2.5,10,90,5
"897","X225",1,3,262,391.403,1,3,"DN15 9UL",1,3,5,2,4,4,400,2,5,1,NA,2,4,11,8,10,8,9,10,11,5,3,0,0,0,4,1250,10,262,1,1,1,1,897,225,0,0,0,50,10,1,5,40,5
"898","X225.1",2,2,262,391.403,1,3,"DN15 9UL",1,3,5,2,4,4,400,2,5,1,NA,2,4,11,8,10,8,9,10,11,5,3,0,0,0,4,1250,10,262,1,1,1,1,898,225,0,0,0,5,90,2.5,10,10,0.5
"899","X225.2",3,3,262,391.403,1,3,"DN15 9UL",1,3,5,2,4,4,400,2,5,1,NA,2,4,11,8,10,8,9,10,11,5,3,0,0,0,4,1250,10,262,1,1,1,1,899,225,0,0,0,50,90,2.5,5,40,1
"900","X225.3",4,3,262,391.403,1,3,"DN15 9UL",1,3,5,2,4,4,400,2,5,1,NA,2,4,11,8,10,8,9,10,11,5,3,0,0,0,4,1250,10,262,1,1,1,1,900,225,0,0,0,50,40,2.5,10,90,5
"901","X226",1,3,259,411.875,1,1,"M20 6TG",1,2,2,4,1,4,200,10,80,1,NA,1,0,11,9,10,9,10,11,11,3,3,1,1,1,5,3500,10,259,1,1,1,1,901,226,0,0,0,5,10,1,10,90,2.5
"902","X226.1",2,1,259,411.875,1,1,"M20 6TG",1,2,2,4,1,4,200,10,80,1,NA,1,0,11,9,10,9,10,11,11,3,3,1,1,1,5,3500,10,259,1,1,1,1,902,226,0,0,0,10,40,5,50,10,0.5
"903","X226.2",3,3,259,411.875,1,1,"M20 6TG",1,2,2,4,1,4,200,10,80,1,NA,1,0,11,9,10,9,10,11,11,3,3,1,1,1,5,3500,10,259,1,1,1,1,903,226,0,0,0,50,40,1,5,10,0.5
"904","X226.3",4,2,259,411.875,1,1,"M20 6TG",1,2,2,4,1,4,200,10,80,1,NA,1,0,11,9,10,9,10,11,11,3,3,1,1,1,5,3500,10,259,1,1,1,1,904,226,0,0,0,10,10,0.5,50,40,1
"905","X227",1,3,271,358.477,1,1,"Mk6 4nj",1,2,1,3,1,5,400,4,20,1,NA,1,0,9,8,8,6,6,6,6,3,3,1,0,1,3,750,10,271,1,1,1,1,905,227,0,0,0,5,10,1,10,90,2.5
"906","X227.1",2,2,271,358.477,1,1,"Mk6 4nj",1,2,1,3,1,5,400,4,20,1,NA,1,0,9,8,8,6,6,6,6,3,3,1,0,1,3,750,10,271,1,1,1,1,906,227,0,0,0,10,40,5,50,10,0.5
"907","X227.2",3,1,271,358.477,1,1,"Mk6 4nj",1,2,1,3,1,5,400,4,20,1,NA,1,0,9,8,8,6,6,6,6,3,3,1,0,1,3,750,10,271,1,1,1,1,907,227,0,0,0,50,40,1,5,10,0.5
"908","X227.3",4,2,271,358.477,1,1,"Mk6 4nj",1,2,1,3,1,5,400,4,20,1,NA,1,0,9,8,8,6,6,6,6,3,3,1,0,1,3,750,10,271,1,1,1,1,908,227,0,0,0,10,10,0.5,50,40,1
"909","X228",1,3,298,269.691,1,1,"HP21 9DZ",3,3,3,2,2,2,0,7,50,NA,1,1,0,9,7,9,6,9,9,11,3,3,0,1,1,4,1750,8,298,1,1,1,1,909,228,0,0,0,5,10,1,10,90,2.5
"910","X228.1",2,1,298,269.691,1,1,"HP21 9DZ",3,3,3,2,2,2,0,7,50,NA,1,1,0,9,7,9,6,9,9,11,3,3,0,1,1,4,1750,8,298,1,1,1,1,910,228,0,0,0,10,40,5,50,10,0.5
"911","X228.2",3,3,298,269.691,1,1,"HP21 9DZ",3,3,3,2,2,2,0,7,50,NA,1,1,0,9,7,9,6,9,9,11,3,3,0,1,1,4,1750,8,298,1,1,1,1,911,228,0,0,0,50,40,1,5,10,0.5
"912","X228.3",4,2,298,269.691,1,1,"HP21 9DZ",3,3,3,2,2,2,0,7,50,NA,1,1,0,9,7,9,6,9,9,11,3,3,0,1,1,4,1750,8,298,1,1,1,1,912,228,0,0,0,10,10,0.5,50,40,1
"913","X229",1,3,232,554.296,1,1,"TW14 8EZ",1,2,1,3,-1,5,500,2,5,1,NA,1,0,11,6,9,6,7,10,11,3,3,0,0,0,1,2750,10,232,1,1,1,1,913,229,0,0,0,5,10,1,10,90,2.5
"914","X229.1",2,2,232,554.296,1,1,"TW14 8EZ",1,2,1,3,-1,5,500,2,5,1,NA,1,0,11,6,9,6,7,10,11,3,3,0,0,0,1,2750,10,232,1,1,1,1,914,229,0,0,0,10,40,5,50,10,0.5
"915","X229.2",3,3,232,554.296,1,1,"TW14 8EZ",1,2,1,3,-1,5,500,2,5,1,NA,1,0,11,6,9,6,7,10,11,3,3,0,0,0,1,2750,10,232,1,1,1,1,915,229,0,0,0,50,40,1,5,10,0.5
"916","X229.3",4,3,232,554.296,1,1,"TW14 8EZ",1,2,1,3,-1,5,500,2,5,1,NA,1,0,11,6,9,6,7,10,11,3,3,0,0,0,1,2750,10,232,1,1,1,1,916,229,0,0,0,10,10,0.5,50,40,1
"917","X230",1,3,253,478.417,1,3,"me13",1,2,3,2,3,3,400,1,1,1,NA,2,4,11,9,9,7,8,10,11,2,3,0,1,0,5,4500,6,253,1,1,1,1,917,230,0,0,0,50,10,1,5,40,5
"918","X230.1",2,2,253,478.417,1,3,"me13",1,2,3,2,3,3,400,1,1,1,NA,2,4,11,9,9,7,8,10,11,2,3,0,1,0,5,4500,6,253,1,1,1,1,918,230,0,0,0,5,90,2.5,10,10,0.5
"919","X230.2",3,3,253,478.417,1,3,"me13",1,2,3,2,3,3,400,1,1,1,NA,2,4,11,9,9,7,8,10,11,2,3,0,1,0,5,4500,6,253,1,1,1,1,919,230,0,0,0,50,90,2.5,5,40,1
"920","X230.3",4,3,253,478.417,1,3,"me13",1,2,3,2,3,3,400,1,1,1,NA,2,4,11,9,9,7,8,10,11,2,3,0,1,0,5,4500,6,253,1,1,1,1,920,230,0,0,0,50,40,2.5,10,90,5
"921","X231",1,3,211,687.281,3,1,"BD8 8NQ",3,2,2,3,1,0,400,1,1,1,NA,1,0,11,10,10,9,11,11,11,4,5,0,1,1,5,5000,10,211,1,1,1,1,921,231,0,0,0,5,10,1,10,90,2.5
"922","X231.1",2,2,211,687.281,3,1,"BD8 8NQ",3,2,2,3,1,0,400,1,1,1,NA,1,0,11,10,10,9,11,11,11,4,5,0,1,1,5,5000,10,211,1,1,1,1,922,231,0,0,0,10,40,5,50,10,0.5
"923","X231.2",3,3,211,687.281,3,1,"BD8 8NQ",3,2,2,3,1,0,400,1,1,1,NA,1,0,11,10,10,9,11,11,11,4,5,0,1,1,5,5000,10,211,1,1,1,1,923,231,0,0,0,50,40,1,5,10,0.5
"924","X231.3",4,2,211,687.281,3,1,"BD8 8NQ",3,2,2,3,1,0,400,1,1,1,NA,1,0,11,10,10,9,11,11,11,4,5,0,1,1,5,5000,10,211,1,1,1,1,924,231,0,0,0,10,10,0.5,50,40,1
"925","X232",1,3,245,513.675,0,3,"pa1 1rs",1,3,4,2,2,5,600,10,80,1,NA,1,0,11,9,10,7,9,10,11,3,3,1,0,0,5,2250,8,245,1,1,1,1,925,232,0,0,0,5,10,1,10,90,2.5
"926","X232.1",2,2,245,513.675,0,3,"pa1 1rs",1,3,4,2,2,5,600,10,80,1,NA,1,0,11,9,10,7,9,10,11,3,3,1,0,0,5,2250,8,245,1,1,1,1,926,232,0,0,0,10,40,5,50,10,0.5
"927","X232.2",3,3,245,513.675,0,3,"pa1 1rs",1,3,4,2,2,5,600,10,80,1,NA,1,0,11,9,10,7,9,10,11,3,3,1,0,0,5,2250,8,245,1,1,1,1,927,232,0,0,0,50,40,1,5,10,0.5
"928","X232.3",4,2,245,513.675,0,3,"pa1 1rs",1,3,4,2,2,5,600,10,80,1,NA,1,0,11,9,10,7,9,10,11,3,3,1,0,0,5,2250,8,245,1,1,1,1,928,232,0,0,0,10,10,0.5,50,40,1
"929","X233",1,1,299,273.835,1,5,"Rh10 3dn",1,4,1,4,0,1,300,2,5,1,NA,2,4,9,6,7,6,8,8,8,3,3,0,0,1,4,2500,10,299,1,1,1,1,929,233,0,0,0,50,10,1,5,40,5
"930","X233.1",2,2,299,273.835,1,5,"Rh10 3dn",1,4,1,4,0,1,300,2,5,1,NA,2,4,9,6,7,6,8,8,8,3,3,0,0,1,4,2500,10,299,1,1,1,1,930,233,0,0,0,5,90,2.5,10,10,0.5
"931","X233.2",3,3,299,273.835,1,5,"Rh10 3dn",1,4,1,4,0,1,300,2,5,1,NA,2,4,9,6,7,6,8,8,8,3,3,0,0,1,4,2500,10,299,1,1,1,1,931,233,0,0,0,50,90,2.5,5,40,1
"932","X233.3",4,1,299,273.835,1,5,"Rh10 3dn",1,4,1,4,0,1,300,2,5,1,NA,2,4,9,6,7,6,8,8,8,3,3,0,0,1,4,2500,10,299,1,1,1,1,932,233,0,0,0,50,40,2.5,10,90,5
"933","X234",1,3,282,338.726,0,3,"WA10",1,3,4,2,0,2,500,6,40,1,NA,2,4,8,3,7,6,8,7,6,4,3,1,0,1,3,3500,10,282,1,1,1,1,933,234,0,0,0,50,10,1,5,40,5
"934","X234.1",2,2,282,338.726,0,3,"WA10",1,3,4,2,0,2,500,6,40,1,NA,2,4,8,3,7,6,8,7,6,4,3,1,0,1,3,3500,10,282,1,1,1,1,934,234,0,0,0,5,90,2.5,10,10,0.5
"935","X234.2",3,3,282,338.726,0,3,"WA10",1,3,4,2,0,2,500,6,40,1,NA,2,4,8,3,7,6,8,7,6,4,3,1,0,1,3,3500,10,282,1,1,1,1,935,234,0,0,0,50,90,2.5,5,40,1
"936","X234.3",4,1,282,338.726,0,3,"WA10",1,3,4,2,0,2,500,6,40,1,NA,2,4,8,3,7,6,8,7,6,4,3,1,0,1,3,3500,10,282,1,1,1,1,936,234,0,0,0,50,40,2.5,10,90,5
"937","X235",1,3,290,322.575,0,3,"BN1 6RE",1,3,2,3,2,2,400,2,5,1,NA,2,4,10,9,9,9,9,9,9,3,3,1,1,1,4,2500,10,290,1,1,1,1,937,235,0,0,0,50,10,1,5,40,5
"938","X235.1",2,2,290,322.575,0,3,"BN1 6RE",1,3,2,3,2,2,400,2,5,1,NA,2,4,10,9,9,9,9,9,9,3,3,1,1,1,4,2500,10,290,1,1,1,1,938,235,0,0,0,5,90,2.5,10,10,0.5
"939","X235.2",3,2,290,322.575,0,3,"BN1 6RE",1,3,2,3,2,2,400,2,5,1,NA,2,4,10,9,9,9,9,9,9,3,3,1,1,1,4,2500,10,290,1,1,1,1,939,235,0,0,0,50,90,2.5,5,40,1
"940","X235.3",4,3,290,322.575,0,3,"BN1 6RE",1,3,2,3,2,2,400,2,5,1,NA,2,4,10,9,9,9,9,9,9,3,3,1,1,1,4,2500,10,290,1,1,1,1,940,235,0,0,0,50,40,2.5,10,90,5
"941","X236",1,3,273,407.177,0,2,"Gl67ER",1,2,2,3,0,0,100,3,10,1,NA,1,0,8,8,8,8,8,8,8,3,3,0,1,1,4,750,8,273,1,1,1,1,941,236,0,0,0,5,10,1,10,90,2.5
"942","X236.1",2,2,273,407.177,0,2,"Gl67ER",1,2,2,3,0,0,100,3,10,1,NA,1,0,8,8,8,8,8,8,8,3,3,0,1,1,4,750,8,273,1,1,1,1,942,236,0,0,0,10,40,5,50,10,0.5
"943","X236.2",3,2,273,407.177,0,2,"Gl67ER",1,2,2,3,0,0,100,3,10,1,NA,1,0,8,8,8,8,8,8,8,3,3,0,1,1,4,750,8,273,1,1,1,1,943,236,0,0,0,50,40,1,5,10,0.5
"944","X236.3",4,3,273,407.177,0,2,"Gl67ER",1,2,2,3,0,0,100,3,10,1,NA,1,0,8,8,8,8,8,8,8,3,3,0,1,1,4,750,8,273,1,1,1,1,944,236,0,0,0,10,10,0.5,50,40,1
"945","X237",1,2,336,192.812,1,3,"PE12 8NU",1,3,1,3,1,2,700,7,50,2,NA,1,0,9,9,7,6,8,8,8,4,4,1,0,1,2,2500,9,336,0,1,1,1,945,237,0,0,0,5,10,1,10,90,2.5
"946","X237.1",2,3,336,192.812,1,3,"PE12 8NU",1,3,1,3,1,2,700,7,50,2,NA,1,0,9,9,7,6,8,8,8,4,4,1,0,1,2,2500,9,336,0,1,1,1,946,237,0,0,0,10,40,5,50,10,0.5
"947","X237.2",3,3,336,192.812,1,3,"PE12 8NU",1,3,1,3,1,2,700,7,50,2,NA,1,0,9,9,7,6,8,8,8,4,4,1,0,1,2,2500,9,336,0,1,1,1,947,237,0,0,0,50,40,1,5,10,0.5
"948","X237.3",4,1,336,192.812,1,3,"PE12 8NU",1,3,1,3,1,2,700,7,50,2,NA,1,0,9,9,7,6,8,8,8,4,4,1,0,1,2,2500,9,336,0,1,1,1,948,237,0,0,0,10,10,0.5,50,40,1
"949","X238",1,3,279,411.982,1,5,"ST20 0FA",1,5,5,2,5,5,200,3,10,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,0,1,5,1250,10,279,1,1,1,1,949,238,0,0,0,5,10,1,10,90,2.5
"950","X238.1",2,2,279,411.982,1,5,"ST20 0FA",1,5,5,2,5,5,200,3,10,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,0,1,5,1250,10,279,1,1,1,1,950,238,0,0,0,10,40,5,50,10,0.5
"951","X238.2",3,2,279,411.982,1,5,"ST20 0FA",1,5,5,2,5,5,200,3,10,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,0,1,5,1250,10,279,1,1,1,1,951,238,0,0,0,50,40,1,5,10,0.5
"952","X238.3",4,3,279,411.982,1,5,"ST20 0FA",1,5,5,2,5,5,200,3,10,1,NA,1,0,11,11,11,11,11,11,11,5,5,0,0,1,5,1250,10,279,1,1,1,1,952,238,0,0,0,10,10,0.5,50,40,1
"953","X239",1,3,305,307.618,1,1,"G20 6qz",1,3,3,2,2,5,0,8,60,NA,1,2,4,11,8,11,9,11,11,11,4,3,1,0,0,5,3500,10,305,1,1,1,1,953,239,0,0,0,50,10,1,5,40,5
"954","X239.1",2,2,305,307.618,1,1,"G20 6qz",1,3,3,2,2,5,0,8,60,NA,1,2,4,11,8,11,9,11,11,11,4,3,1,0,0,5,3500,10,305,1,1,1,1,954,239,0,0,0,5,90,2.5,10,10,0.5
"955","X239.2",3,1,305,307.618,1,1,"G20 6qz",1,3,3,2,2,5,0,8,60,NA,1,2,4,11,8,11,9,11,11,11,4,3,1,0,0,5,3500,10,305,1,1,1,1,955,239,0,0,0,50,90,2.5,5,40,1
"956","X239.3",4,3,305,307.618,1,1,"G20 6qz",1,3,3,2,2,5,0,8,60,NA,1,2,4,11,8,11,9,11,11,11,4,3,1,0,0,5,3500,10,305,1,1,1,1,956,239,0,0,0,50,40,2.5,10,90,5
"957","X240",1,1,295,340.776,1,4,"hu68ba",1,2,4,2,2,0,400,1,1,2,NA,2,4,8,6,9,6,9,9,9,3,3,0,0,1,2,1750,10,295,0,1,1,1,957,240,0,0,0,50,10,1,5,40,5
"958","X240.1",2,3,295,340.776,1,4,"hu68ba",1,2,4,2,2,0,400,1,1,2,NA,2,4,8,6,9,6,9,9,9,3,3,0,0,1,2,1750,10,295,0,1,1,1,958,240,0,0,0,5,90,2.5,10,10,0.5
"959","X240.2",3,1,295,340.776,1,4,"hu68ba",1,2,4,2,2,0,400,1,1,2,NA,2,4,8,6,9,6,9,9,9,3,3,0,0,1,2,1750,10,295,0,1,1,1,959,240,0,0,0,50,90,2.5,5,40,1
"960","X240.3",4,1,295,340.776,1,4,"hu68ba",1,2,4,2,2,0,400,1,1,2,NA,2,4,8,6,9,6,9,9,9,3,3,0,0,1,2,1750,10,295,0,1,1,1,960,240,0,0,0,50,40,2.5,10,90,5
"961","X241",1,1,293,349.082,0,1,"ST2 8JN",1,5,3,2,3,2,300,9,70,1,NA,2,4,10,8,10,9,10,9,8,3,4,0,1,1,5,1250,10,293,1,1,1,1,961,241,0,0,0,50,10,1,5,40,5
"962","X241.1",2,2,293,349.082,0,1,"ST2 8JN",1,5,3,2,3,2,300,9,70,1,NA,2,4,10,8,10,9,10,9,8,3,4,0,1,1,5,1250,10,293,1,1,1,1,962,241,0,0,0,5,90,2.5,10,10,0.5
"963","X241.2",3,3,293,349.082,0,1,"ST2 8JN",1,5,3,2,3,2,300,9,70,1,NA,2,4,10,8,10,9,10,9,8,3,4,0,1,1,5,1250,10,293,1,1,1,1,963,241,0,0,0,50,90,2.5,5,40,1
"964","X241.3",4,1,293,349.082,0,1,"ST2 8JN",1,5,3,2,3,2,300,9,70,1,NA,2,4,10,8,10,9,10,9,8,3,4,0,1,1,5,1250,10,293,1,1,1,1,964,241,0,0,0,50,40,2.5,10,90,5
"965","X242",1,2,339,196.18,1,1,"EH9 1QY",1,2,1,2,1,3,300,10,80,1,NA,1,0,9,9,8,8,9,9,10,3,3,0,1,1,5,1750,10,339,1,1,1,1,965,242,0,0,0,5,10,1,10,90,2.5
"966","X242.1",2,2,339,196.18,1,1,"EH9 1QY",1,2,1,2,1,3,300,10,80,1,NA,1,0,9,9,8,8,9,9,10,3,3,0,1,1,5,1750,10,339,1,1,1,1,966,242,0,0,0,10,40,5,50,10,0.5
"967","X242.2",3,2,339,196.18,1,1,"EH9 1QY",1,2,1,2,1,3,300,10,80,1,NA,1,0,9,9,8,8,9,9,10,3,3,0,1,1,5,1750,10,339,1,1,1,1,967,242,0,0,0,50,40,1,5,10,0.5
"968","X242.3",4,2,339,196.18,1,1,"EH9 1QY",1,2,1,2,1,3,300,10,80,1,NA,1,0,9,9,8,8,9,9,10,3,3,0,1,1,5,1750,10,339,1,1,1,1,968,242,0,0,0,10,10,0.5,50,40,1
"969","X243",1,3,194,856.604,1,2,"se5 7ln",1,4,2,2,3,3,0,10,80,NA,1,1,0,11,9,11,11,11,11,11,3,3,1,0,1,5,2500,9,194,1,1,1,1,969,243,0,0,0,5,10,1,10,90,2.5
"970","X243.1",2,2,194,856.604,1,2,"se5 7ln",1,4,2,2,3,3,0,10,80,NA,1,1,0,11,9,11,11,11,11,11,3,3,1,0,1,5,2500,9,194,1,1,1,1,970,243,0,0,0,10,40,5,50,10,0.5
"971","X243.2",3,3,194,856.604,1,2,"se5 7ln",1,4,2,2,3,3,0,10,80,NA,1,1,0,11,9,11,11,11,11,11,3,3,1,0,1,5,2500,9,194,1,1,1,1,971,243,0,0,0,50,40,1,5,10,0.5
